symbol,date,row_type,composite_score,direction,factor_count,updated_at,engine_version,factor_code,factor_name,raw_value,normalized_score,weight,contribution,factor_direction,ic_value
AU,2026-04-21,SUMMARY,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,,,,,,,,
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_CFTC_NC,美国CFTC持仓报告非商业多头,45530.0,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_DXY,DXY美元指数,97.756,0.0,0.0909,0.0,negative,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_FED_DOT,美联储点阵图中位数,4.5,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_FED_RATE,美联储利率,4.5,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_GOLD_RESERVE_CB,全球央行购金,3427.63,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_SHFE_OI_RANK,上期货持仓排名,0.0,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_SPD_AUAG,金银比,53.1783,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_SPD_BASIS,黄金期现价差,4.6,0.0,0.0909,0.0,negative,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_SPD_GLD,黄金跨市场价差,1060.62,0.0,0.0909,0.0,negative,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_SPOT_SGE,SGE黄金现货,1058.62,0.0,0.0909,0.0,positive,0.0
AU,2026-04-21,FACTOR,50.0,NEUTRAL,11,2026-04-21T13:03:32+08:00,backfill_v1.0,AU_US_10Y_YIELD,美债10年收益率,4.26,0.0,0.0909,0.0,negative,0.0
