datetime,open,high,low,close,volume
2025-01-02 00:00:00,15000,15010,14940,14995,854
2025-01-02 00:01:00,14995,15135,14895,14960,130
2025-01-02 00:02:00,14960,14995,14875,14980,127
2025-01-02 00:03:00,14980,15100,14930,14995,703
2025-01-02 00:04:00,14995,15000,14980,14990,925
2025-01-02 00:05:00,14990,15055,14875,14980,444
2025-01-02 00:06:00,14980,15085,14960,15055,967
2025-01-02 00:07:00,15055,15140,14995,15005,487
2025-01-02 00:08:00,15005,15140,14915,14960,733
2025-01-02 00:09:00,14960,15015,14860,14910,396
2025-01-02 00:10:00,14910,15010,14790,14920,489
2025-01-02 00:11:00,14920,14960,14820,14855,786
2025-01-02 00:12:00,14855,14920,14745,14885,173
2025-01-02 00:13:00,14885,14955,14850,14855,376
2025-01-02 00:14:00,14855,14915,14805,14895,432
2025-01-02 00:15:00,14895,14915,14885,14890,680
2025-01-02 00:16:00,14890,14935,14805,14915,758
2025-01-02 00:17:00,14915,14960,14910,14930,864
2025-01-02 00:18:00,14930,15020,14840,14885,470
2025-01-02 00:19:00,14885,14905,14760,14905,981
2025-01-02 00:20:00,14905,14965,14805,14900,710
2025-01-02 00:21:00,14900,14965,14810,14865,666
2025-01-02 00:22:00,14865,14885,14830,14870,649
2025-01-02 00:23:00,14870,14935,14860,14865,839
2025-01-02 00:24:00,14865,14875,14775,14870,208
2025-01-02 00:25:00,14870,14970,14820,14855,880
2025-01-02 00:26:00,14855,14980,14815,14845,643
2025-01-02 00:27:00,14845,14895,14755,14810,951
2025-01-02 00:28:00,14810,14840,14755,14835,680
2025-01-02 00:29:00,14835,14915,14720,14870,884
2025-01-02 00:30:00,14870,14950,14810,14890,662
2025-01-02 00:31:00,14890,15040,14865,14885,847
2025-01-02 00:32:00,14885,14930,14810,14915,787
2025-01-02 00:33:00,14915,15030,14825,14880,165
2025-01-02 00:34:00,14880,14980,14870,14885,702
2025-01-02 00:35:00,14885,14930,14860,14925,132
2025-01-02 00:36:00,14925,14935,14810,14920,319
2025-01-02 00:37:00,14920,15090,14845,14960,903
2025-01-02 00:38:00,14960,14975,14905,14950,199
2025-01-02 00:39:00,14950,14985,14810,14930,789
2025-01-02 00:40:00,14930,14975,14925,14940,512
2025-01-02 00:41:00,14940,14975,14895,14935,287
2025-01-02 00:42:00,14935,14955,14910,14930,927
2025-01-02 00:43:00,14930,15025,14920,14960,195
2025-01-02 00:44:00,14960,15010,14950,14955,510
2025-01-02 00:45:00,14955,14960,14835,14950,392
2025-01-02 00:46:00,14950,14990,14815,14930,902
2025-01-02 00:47:00,14930,15005,14895,14915,159
2025-01-02 00:48:00,14915,14930,14890,14930,421
2025-01-02 00:49:00,14930,14980,14850,14955,158
2025-01-02 00:50:00,14955,14995,14915,14940,709
2025-01-02 00:51:00,14940,14990,14820,14935,352
2025-01-02 00:52:00,14935,15055,14875,14970,529
2025-01-02 00:53:00,14970,15015,14900,14945,833
2025-01-02 00:54:00,14945,14950,14865,14940,787
2025-01-02 00:55:00,14940,15000,14935,14935,569
2025-01-02 00:56:00,14935,15185,14925,14925,175
2025-01-02 00:57:00,14925,14985,14785,14930,1000
2025-01-02 00:58:00,14930,14960,14880,14910,953
2025-01-02 00:59:00,14910,15010,14790,14900,108
2025-01-02 01:00:00,14900,14940,14795,14905,999
2025-01-02 01:01:00,14905,15065,14870,14910,315
2025-01-02 01:02:00,14910,14955,14810,14925,370
2025-01-02 01:03:00,14925,14935,14855,14875,533
2025-01-02 01:04:00,14875,14940,14845,14865,233
2025-01-02 01:05:00,14865,14885,14755,14880,674
2025-01-02 01:06:00,14880,15030,14765,14895,807
2025-01-02 01:07:00,14895,14935,14815,14850,230
2025-01-02 01:08:00,14850,14905,14695,14845,915
2025-01-02 01:09:00,14845,14890,14845,14860,898
2025-01-02 01:10:00,14860,14925,14810,14870,735
2025-01-02 01:11:00,14870,14910,14800,14885,281
2025-01-02 01:12:00,14885,15045,14865,14925,440
2025-01-02 01:13:00,14925,15080,14905,14940,906
2025-01-02 01:14:00,14940,14955,14910,14925,581
2025-01-02 01:15:00,14925,15105,14845,14945,992
2025-01-02 01:16:00,14945,15000,14835,14980,508
2025-01-02 01:17:00,14980,15015,14925,14985,795
2025-01-02 01:18:00,14985,15020,14970,15010,998
2025-01-02 01:19:00,15010,15215,15005,15040,544
2025-01-02 01:20:00,15040,15060,14975,15050,720
2025-01-02 01:21:00,15050,15195,15040,15090,546
2025-01-02 01:22:00,15090,15235,15075,15100,803
2025-01-02 01:23:00,15100,15185,14940,15110,738
2025-01-02 01:24:00,15110,15130,15060,15095,407
2025-01-02 01:25:00,15095,15165,15035,15085,230
2025-01-02 01:26:00,15085,15255,15000,15100,793
2025-01-02 01:27:00,15100,15140,15085,15085,393
2025-01-02 01:28:00,15085,15180,15025,15080,576
2025-01-02 01:29:00,15080,15100,14905,15065,915
2025-01-02 01:30:00,15065,15110,15015,15075,779
2025-01-02 01:31:00,15075,15100,15015,15070,417
2025-01-02 01:32:00,15070,15090,15050,15075,586
2025-01-02 01:33:00,15075,15105,14985,15080,299
2025-01-02 01:34:00,15080,15155,15080,15100,771
2025-01-02 01:35:00,15100,15235,15000,15140,324
2025-01-02 01:36:00,15140,15180,15005,15115,575
2025-01-02 01:37:00,15115,15175,15035,15065,575
2025-01-02 01:38:00,15065,15170,15045,15075,424
2025-01-02 01:39:00,15075,15155,14905,15045,661
2025-01-02 01:40:00,15045,15055,14960,15050,365
2025-01-02 01:41:00,15050,15110,15035,15060,344
2025-01-02 01:42:00,15060,15170,14990,15035,340
2025-01-02 01:43:00,15035,15170,14970,15010,492
2025-01-02 01:44:00,15010,15025,14985,15020,517
2025-01-02 01:45:00,15020,15040,14975,14995,888
2025-01-02 01:46:00,14995,15035,14990,15020,883
2025-01-02 01:47:00,15020,15025,15010,15015,955
2025-01-02 01:48:00,15015,15135,14940,14970,919
2025-01-02 01:49:00,14970,15045,14960,14995,498
2025-01-02 01:50:00,14995,15090,14880,15025,841
2025-01-02 01:51:00,15025,15195,14935,15055,503
2025-01-02 01:52:00,15055,15165,15035,15060,238
2025-01-02 01:53:00,15060,15125,15020,15070,445
2025-01-02 01:54:00,15070,15130,14890,15095,531
2025-01-02 01:55:00,15095,15185,15095,15110,458
2025-01-02 01:56:00,15110,15185,15000,15105,767
2025-01-02 01:57:00,15105,15290,15055,15100,229
2025-01-02 01:58:00,15100,15155,15080,15105,816
2025-01-02 01:59:00,15105,15155,15105,15110,938
2025-01-02 02:00:00,15110,15145,15090,15100,126
2025-01-02 02:01:00,15100,15175,14930,15055,303
2025-01-02 02:02:00,15055,15215,14975,15095,348
2025-01-02 02:03:00,15095,15155,15035,15090,915
2025-01-02 02:04:00,15090,15105,14980,15050,538
2025-01-02 02:05:00,15050,15115,14950,15030,942
2025-01-02 02:06:00,15030,15220,14910,15070,750
2025-01-02 02:07:00,15070,15150,15045,15065,376
2025-01-02 02:08:00,15065,15100,14920,15005,595
2025-01-02 02:09:00,15005,15055,14955,14970,950
2025-01-02 02:10:00,14970,15035,14890,15020,868
2025-01-02 02:11:00,15020,15065,14945,14990,432
2025-01-02 02:12:00,14990,15085,14985,15015,364
2025-01-02 02:13:00,15015,15115,14940,15010,629
2025-01-02 02:14:00,15010,15115,14930,14990,600
2025-01-02 02:15:00,14990,15110,14855,14995,195
2025-01-02 02:16:00,14995,15020,14930,14990,695
2025-01-02 02:17:00,14990,15005,14850,14960,438
2025-01-02 02:18:00,14960,14995,14905,14980,357
2025-01-02 02:19:00,14980,15025,14910,14990,880
2025-01-02 02:20:00,14990,15055,14875,15010,383
2025-01-02 02:21:00,15010,15055,15005,15040,298
2025-01-02 02:22:00,15040,15055,14995,15050,114
2025-01-02 02:23:00,15050,15070,14990,15055,229
2025-01-02 02:24:00,15055,15125,14990,15065,993
2025-01-02 02:25:00,15065,15105,14995,15040,152
2025-01-02 02:26:00,15040,15125,15010,15045,941
2025-01-02 02:27:00,15045,15060,15025,15040,252
2025-01-02 02:28:00,15040,15070,15025,15035,354
2025-01-02 02:29:00,15035,15065,14925,15010,894
2025-01-02 02:30:00,15010,15130,14880,14990,404
2025-01-02 02:31:00,14990,15015,14915,15010,857
2025-01-02 02:32:00,15010,15060,14975,14990,316
2025-01-02 02:33:00,14990,15025,14970,14985,102
2025-01-02 02:34:00,14985,15090,14955,14995,398
2025-01-02 02:35:00,14995,15115,14970,15000,803
2025-01-02 02:36:00,15000,15115,14915,14975,740
2025-01-02 02:37:00,14975,15125,14860,14945,763
2025-01-02 02:38:00,14945,15075,14870,14960,173
2025-01-02 02:39:00,14960,15025,14960,14970,395
2025-01-02 02:40:00,14970,15050,14860,14940,816
2025-01-02 02:41:00,14940,14995,14910,14965,140
2025-01-02 02:42:00,14965,14985,14955,14970,334
2025-01-02 02:43:00,14970,15070,14690,14985,788
2025-01-02 02:44:00,14985,15100,14895,14955,279
2025-01-02 02:45:00,14955,14965,14885,14930,546
2025-01-02 02:46:00,14930,15085,14750,15010,581
2025-01-02 02:47:00,15010,15045,14960,14995,521
2025-01-02 02:48:00,14995,15050,14820,15005,933
2025-01-02 02:49:00,15005,15020,15005,15015,891
2025-01-02 02:50:00,15015,15125,14910,15030,101
2025-01-02 02:51:00,15030,15110,14945,15050,737
2025-01-02 02:52:00,15050,15150,14960,15060,308
2025-01-02 02:53:00,15060,15115,14900,15010,224
2025-01-02 02:54:00,15010,15125,14995,15025,345
2025-01-02 02:55:00,15025,15035,14995,15020,216
2025-01-02 02:56:00,15020,15170,14985,15065,257
2025-01-02 02:57:00,15065,15110,15045,15085,594
2025-01-02 02:58:00,15085,15090,14965,15060,492
2025-01-02 02:59:00,15060,15125,14950,15085,382
2025-01-02 03:00:00,15085,15155,14940,15050,373
2025-01-02 03:01:00,15050,15115,14965,15055,252
2025-01-02 03:02:00,15055,15115,14975,15060,656
2025-01-02 03:03:00,15060,15080,14995,15040,685
2025-01-02 03:04:00,15040,15090,14910,15075,144
2025-01-02 03:05:00,15075,15200,14990,15080,940
2025-01-02 03:06:00,15080,15195,15070,15105,137
2025-01-02 03:07:00,15105,15105,14970,15075,550
2025-01-02 03:08:00,15075,15155,15025,15040,839
2025-01-02 03:09:00,15040,15100,14960,15010,371
2025-01-02 03:10:00,15010,15090,14955,15035,182
2025-01-02 03:11:00,15035,15185,14985,15065,835
2025-01-02 03:12:00,15065,15095,15050,15080,170
2025-01-02 03:13:00,15080,15205,14920,15045,544
2025-01-02 03:14:00,15045,15060,15010,15050,270
2025-01-02 03:15:00,15050,15070,15030,15055,483
2025-01-02 03:16:00,15055,15110,14960,15035,679
2025-01-02 03:17:00,15035,15080,14960,15030,346
2025-01-02 03:18:00,15030,15065,14985,15005,572
2025-01-02 03:19:00,15005,15065,14945,15000,793
2025-01-02 03:20:00,15000,15045,14880,14950,453
2025-01-02 03:21:00,14950,15130,14900,14930,409
2025-01-02 03:22:00,14930,15075,14905,14905,209
2025-01-02 03:23:00,14905,14955,14855,14890,122
2025-01-02 03:24:00,14890,14935,14885,14925,985
2025-01-02 03:25:00,14925,15135,14820,14935,952
2025-01-02 03:26:00,14935,14945,14860,14915,921
2025-01-02 03:27:00,14915,14965,14905,14910,797
2025-01-02 03:28:00,14910,15020,14755,14870,761
2025-01-02 03:29:00,14870,14945,14755,14860,192
2025-01-02 03:30:00,14860,14895,14770,14840,305
2025-01-02 03:31:00,14840,15005,14780,14855,379
2025-01-02 03:32:00,14855,14890,14715,14885,593
2025-01-02 03:33:00,14885,14955,14840,14880,331
2025-01-02 03:34:00,14880,15080,14855,14885,923
2025-01-02 03:35:00,14885,14985,14760,14850,565
2025-01-02 03:36:00,14850,14900,14765,14855,942
2025-01-02 03:37:00,14855,14885,14855,14870,674
2025-01-02 03:38:00,14870,14925,14845,14880,164
2025-01-02 03:39:00,14880,15055,14855,14910,243
2025-01-02 03:40:00,14910,15000,14890,14940,604
2025-01-02 03:41:00,14940,15085,14885,14995,786
2025-01-02 03:42:00,14995,15130,14935,15020,258
2025-01-02 03:43:00,15020,15140,14850,14985,386
2025-01-02 03:44:00,14985,15005,14885,14935,555
2025-01-02 03:45:00,14935,14970,14900,14945,760
2025-01-02 03:46:00,14945,15000,14890,14910,225
2025-01-02 03:47:00,14910,14960,14785,14930,151
2025-01-02 03:48:00,14930,14930,14825,14865,678
2025-01-02 03:49:00,14865,14970,14850,14915,990
2025-01-02 03:50:00,14915,14955,14880,14935,710
2025-01-02 03:51:00,14935,15145,14825,14920,917
2025-01-02 03:52:00,14920,14945,14885,14915,466
2025-01-02 03:53:00,14915,14920,14855,14910,216
2025-01-02 03:54:00,14910,15065,14890,14935,625
2025-01-02 03:55:00,14935,15020,14915,14965,902
2025-01-02 03:56:00,14965,15155,14915,14970,162
2025-01-02 03:57:00,14970,15055,14880,14990,554
2025-01-02 03:58:00,14990,15075,14950,15020,251
2025-01-02 03:59:00,15020,15125,14920,15050,490
2025-01-03 00:00:00,15050,15065,14975,15000,818
2025-01-03 00:01:00,15000,15065,14895,14980,887
2025-01-03 00:02:00,14980,15030,14915,14965,447
2025-01-03 00:03:00,14965,14975,14895,14960,420
2025-01-03 00:04:00,14960,15145,14915,14950,193
2025-01-03 00:05:00,14950,14980,14885,14905,856
2025-01-03 00:06:00,14905,15005,14825,14915,437
2025-01-03 00:07:00,14915,14965,14830,14880,781
2025-01-03 00:08:00,14880,15000,14780,14910,460
2025-01-03 00:09:00,14910,14955,14865,14890,772
