datetime,open,high,low,close,volume
2025-01-02 00:00:00,22000,22010,21935,21990,854
2025-01-02 00:01:00,21990,22140,21885,21955,130
2025-01-02 00:02:00,21955,21995,21865,21975,127
2025-01-02 00:03:00,21975,22100,21920,21990,703
2025-01-02 00:04:00,21990,21995,21970,21980,925
2025-01-02 00:05:00,21980,22050,21860,21970,444
2025-01-02 00:06:00,21970,22080,21950,22050,967
2025-01-02 00:07:00,22050,22135,21985,21995,487
2025-01-02 00:08:00,21995,22135,21895,21945,733
2025-01-02 00:09:00,21945,22005,21835,21890,396
2025-01-02 00:10:00,21890,21990,21765,21895,489
2025-01-02 00:11:00,21895,21940,21785,21825,786
2025-01-02 00:12:00,21825,21890,21710,21855,173
2025-01-02 00:13:00,21855,21930,21820,21825,376
2025-01-02 00:14:00,21825,21885,21775,21865,432
2025-01-02 00:15:00,21865,21885,21855,21860,680
2025-01-02 00:16:00,21860,21905,21770,21885,758
2025-01-02 00:17:00,21885,21930,21880,21895,864
2025-01-02 00:18:00,21895,21990,21800,21845,470
2025-01-02 00:19:00,21845,21865,21715,21865,981
2025-01-02 00:20:00,21865,21930,21760,21860,710
2025-01-02 00:21:00,21860,21930,21760,21820,666
2025-01-02 00:22:00,21820,21950,21710,21825,868
2025-01-02 00:23:00,21825,21895,21815,21820,839
2025-01-02 00:24:00,21820,21830,21725,21825,208
2025-01-02 00:25:00,21825,21930,21775,21810,880
2025-01-02 00:26:00,21810,21940,21760,21795,643
2025-01-02 00:27:00,21795,21850,21705,21760,951
2025-01-02 00:28:00,21760,21785,21700,21780,680
2025-01-02 00:29:00,21780,21860,21660,21815,884
2025-01-02 00:30:00,21815,21890,21750,21830,662
2025-01-02 00:31:00,21830,21990,21775,21825,652
2025-01-02 00:32:00,21825,21850,21750,21830,787
2025-01-02 00:33:00,21830,21950,21735,21790,165
2025-01-02 00:34:00,21790,21890,21750,21785,107
2025-01-02 00:35:00,21785,21810,21710,21780,626
2025-01-02 00:36:00,21780,21875,21765,21775,840
2025-01-02 00:37:00,21775,21800,21675,21755,196
2025-01-02 00:38:00,21755,21810,21690,21760,984
2025-01-02 00:39:00,21760,21960,21660,21725,447
2025-01-02 00:40:00,21725,21740,21675,21740,559
2025-01-02 00:41:00,21740,21770,21720,21720,553
2025-01-02 00:42:00,21720,21870,21655,21775,653
2025-01-02 00:43:00,21775,21865,21750,21830,597
2025-01-02 00:44:00,21830,21850,21735,21815,160
2025-01-02 00:45:00,21815,21970,21745,21760,565
2025-01-02 00:46:00,21760,21980,21670,21805,902
2025-01-02 00:47:00,21805,21880,21770,21790,159
2025-01-02 00:48:00,21790,21805,21760,21805,421
2025-01-02 00:49:00,21805,21860,21720,21830,158
2025-01-02 00:50:00,21830,21875,21790,21815,709
2025-01-02 00:51:00,21815,21865,21685,21805,352
2025-01-02 00:52:00,21805,21930,21745,21840,529
2025-01-02 00:53:00,21840,21890,21760,21810,833
2025-01-02 00:54:00,21810,21815,21720,21800,787
2025-01-02 00:55:00,21800,21865,21790,21790,569
2025-01-02 00:56:00,21790,22050,21775,21780,175
2025-01-02 00:57:00,21780,21845,21660,21785,478
2025-01-02 00:58:00,21785,21865,21625,21750,820
2025-01-02 00:59:00,21750,21900,21685,21690,936
2025-01-02 01:00:00,21690,21785,21525,21685,237
2025-01-02 01:01:00,21685,21720,21625,21695,719
2025-01-02 01:02:00,21695,21705,21635,21685,749
2025-01-02 01:03:00,21685,21685,21645,21665,749
2025-01-02 01:04:00,21665,21675,21640,21660,441
2025-01-02 01:05:00,21660,21705,21640,21645,537
2025-01-02 01:06:00,21645,21675,21610,21610,807
2025-01-02 01:07:00,21610,21650,21525,21565,230
2025-01-02 01:08:00,21565,21625,21400,21555,915
2025-01-02 01:09:00,21555,21600,21555,21570,898
2025-01-02 01:10:00,21570,21640,21515,21580,735
2025-01-02 01:11:00,21580,21620,21505,21595,281
2025-01-02 01:12:00,21595,21755,21575,21630,440
2025-01-02 01:13:00,21630,21790,21605,21645,906
2025-01-02 01:14:00,21645,21660,21610,21625,581
2025-01-02 01:15:00,21625,21805,21540,21640,992
2025-01-02 01:16:00,21640,21695,21525,21675,508
2025-01-02 01:17:00,21675,21710,21620,21680,795
2025-01-02 01:18:00,21680,21715,21665,21705,998
2025-01-02 01:19:00,21705,21910,21700,21730,544
2025-01-02 01:20:00,21730,21750,21665,21740,720
2025-01-02 01:21:00,21740,21890,21730,21780,546
2025-01-02 01:22:00,21780,21925,21760,21785,803
2025-01-02 01:23:00,21785,21875,21615,21795,738
2025-01-02 01:24:00,21795,21815,21740,21775,407
2025-01-02 01:25:00,21775,21850,21710,21765,230
2025-01-02 01:26:00,21765,21940,21675,21775,793
2025-01-02 01:27:00,21775,21820,21760,21760,393
2025-01-02 01:28:00,21760,21860,21700,21755,576
2025-01-02 01:29:00,21755,21775,21575,21740,915
2025-01-02 01:30:00,21740,21785,21685,21750,779
2025-01-02 01:31:00,21750,21775,21685,21740,417
2025-01-02 01:32:00,21740,21755,21695,21735,147
2025-01-02 01:33:00,21735,21780,21725,21770,744
2025-01-02 01:34:00,21770,21810,21625,21740,606
2025-01-02 01:35:00,21740,21855,21735,21735,209
2025-01-02 01:36:00,21735,21760,21550,21690,812
2025-01-02 01:37:00,21690,21710,21625,21660,236
2025-01-02 01:38:00,21660,21775,21455,21655,709
2025-01-02 01:39:00,21655,21755,21560,21705,616
2025-01-02 01:40:00,21705,21755,21595,21680,262
2025-01-02 01:41:00,21680,21720,21605,21640,896
2025-01-02 01:42:00,21640,21695,21615,21620,550
2025-01-02 01:43:00,21620,21675,21530,21615,182
2025-01-02 01:44:00,21615,21705,21555,21660,256
2025-01-02 01:45:00,21660,21715,21580,21685,311
2025-01-02 01:46:00,21685,21790,21590,21675,812
2025-01-02 01:47:00,21675,21805,21670,21700,460
2025-01-02 01:48:00,21700,21820,21545,21705,529
2025-01-02 01:49:00,21705,21810,21695,21710,546
2025-01-02 01:50:00,21710,21795,21695,21725,795
2025-01-02 01:51:00,21725,21875,21525,21715,646
2025-01-02 01:52:00,21715,21800,21620,21680,778
2025-01-02 01:53:00,21680,21740,21645,21700,366
2025-01-02 01:54:00,21700,21740,21610,21685,445
2025-01-02 01:55:00,21685,21875,21545,21675,581
2025-01-02 01:56:00,21675,21695,21650,21695,458
2025-01-02 01:57:00,21695,21805,21595,21670,353
2025-01-02 01:58:00,21670,21730,21545,21635,344
2025-01-02 01:59:00,21635,21640,21540,21620,362
2025-01-02 02:00:00,21620,21675,21515,21610,865
2025-01-02 02:01:00,21610,21655,21450,21605,689
2025-01-02 02:02:00,21605,21670,21535,21575,832
2025-01-02 02:03:00,21575,21665,21550,21610,891
2025-01-02 02:04:00,21610,21670,21515,21600,223
2025-01-02 02:05:00,21600,21670,21530,21595,449
2025-01-02 02:06:00,21595,21700,21480,21615,208
2025-01-02 02:07:00,21615,21675,21555,21650,545
2025-01-02 02:08:00,21650,21670,21415,21615,376
2025-01-02 02:09:00,21615,21715,21530,21625,848
2025-01-02 02:10:00,21625,21715,21500,21620,188
2025-01-02 02:11:00,21620,21675,21515,21635,488
2025-01-02 02:12:00,21635,21790,21610,21640,286
2025-01-02 02:13:00,21640,21785,21555,21650,818
2025-01-02 02:14:00,21650,21785,21620,21695,295
2025-01-02 02:15:00,21695,21780,21690,21700,828
2025-01-02 02:16:00,21700,21745,21695,21730,401
2025-01-02 02:17:00,21730,21765,21675,21715,666
2025-01-02 02:18:00,21715,21860,21475,21695,663
2025-01-02 02:19:00,21695,21765,21655,21675,838
2025-01-02 02:20:00,21675,21740,21555,21690,880
2025-01-02 02:21:00,21690,21825,21675,21705,878
2025-01-02 02:22:00,21705,21915,21580,21735,952
2025-01-02 02:23:00,21735,21805,21685,21725,229
