date,open,high,low,close,volume,position,s
2020-01-02,6188.5,6233.0,6161.0,6207.0,14304,0,0.0
2020-01-03,6206.0,6209.0,6088.5,6136.5,18427,0,0.0
2020-01-06,6124.0,6162.0,6100.5,6143.0,14694,0,0.0
2020-01-07,6148.5,6180.0,6135.0,6167.5,12551,0,0.0
2020-01-08,6122.5,6200.0,6115.0,6189.0,14061,0,0.0
2020-01-09,6195.0,6213.5,6161.5,6161.5,10300,0,0.0
2020-01-10,6168.0,6243.5,6163.5,6203.0,13151,0,0.0
2020-01-13,6202.0,6298.5,6191.5,6289.5,16275,0,0.0
2020-01-14,6292.0,6321.0,6271.0,6308.5,13642,0,0.0
2020-01-15,6298.0,6309.5,6246.0,6302.0,10509,0,0.0
2020-01-16,6300.0,6343.0,6258.0,6267.0,15593,0,0.0
2020-01-17,6279.0,6324.0,6257.5,6267.5,10750,0,0.0
2020-01-20,6269.5,6297.0,6247.0,6262.0,6347,0,0.0
2020-01-21,6262.0,6262.0,6145.5,6145.0,17572,0,0.0
2020-01-22,6151.5,6178.0,6095.5,6103.5,17855,0,0.0
2020-01-23,6106.0,6116.0,5981.0,6026.0,20790,0,0.0
2020-01-24,6018.5,6020.0,5910.5,5922.5,15978,0,0.0
2020-01-27,5836.0,5850.0,5726.0,5747.0,21851,0,0.0
2020-01-28,5739.0,5762.5,5690.5,5699.5,18825,0,0.0
2020-01-29,5707.0,5757.0,5642.0,5647.5,16629,0,0.0
2020-01-30,5651.5,5664.0,5565.0,5565.0,19085,0,0.0
2020-01-31,5626.0,5663.0,5533.5,5558.0,17413,0,0.0
2020-02-03,5596.0,5668.0,5527.0,5559.5,26964,0,0.0
2020-02-04,5569.5,5691.0,5569.5,5634.5,27256,0,0.0
2020-02-05,5633.0,5769.0,5633.0,5719.0,25762,0,0.0
2020-02-06,5732.0,5813.5,5710.0,5742.0,20041,0,0.0
2020-02-07,5743.0,5758.0,5647.0,5654.5,16417,0,0.0
2020-02-10,5657.0,5716.5,5638.0,5659.0,16030,0,0.0
2020-02-11,5695.0,5777.0,5691.0,5724.5,17014,0,0.0
2020-02-12,5740.0,5783.0,5720.0,5760.5,12144,0,0.0
2020-02-13,5733.5,5814.5,5725.0,5788.0,16404,0,0.0
2020-02-14,5779.5,5794.0,5744.5,5756.0,10992,0,0.0
2020-02-17,5770.0,5828.5,5770.0,5820.0,11150,0,0.0
2020-02-18,5802.0,5814.5,5746.0,5765.0,17194,0,0.0
2020-02-19,5781.0,5818.0,5714.0,5779.5,16755,0,0.0
2020-02-20,5793.5,5814.0,5720.0,5737.5,14172,0,0.0
2020-02-21,5743.5,5788.5,5684.0,5761.5,17046,0,0.0
2020-02-24,5712.0,5716.5,5671.5,5688.5,16076,0,0.0
2020-02-25,5710.0,5728.0,5673.0,5679.0,14581,0,0.0
2020-02-26,5670.0,5696.5,5623.5,5661.0,19674,0,0.0
2020-02-27,5665.0,5681.0,5574.5,5654.5,24440,0,0.0
2020-02-28,5651.0,5653.5,5533.0,5588.5,30004,0,0.0
2020-03-02,5579.0,5733.5,5577.0,5723.0,23183,0,0.0
2020-03-03,5742.0,5780.5,5622.5,5658.5,25121,0,0.0
2020-03-04,5705.0,5730.0,5667.5,5692.0,16669,0,0.0
2020-03-05,5703.0,5731.5,5655.0,5670.5,14992,0,0.0
2020-03-06,5679.5,5685.0,5592.5,5630.5,22681,0,0.0
2020-03-09,5535.0,5583.0,5433.0,5524.0,29721,0,0.0
2020-03-10,5563.0,5653.5,5548.5,5585.0,22902,0,0.0
2020-03-11,5591.0,5612.0,5507.0,5507.5,18392,0,0.0
2020-03-12,5463.5,5485.0,5376.5,5435.0,29755,0,0.0
2020-03-13,5396.0,5589.0,5319.5,5452.0,31255,0,0.0
2020-03-16,5401.0,5436.5,5182.5,5285.0,29822,0,0.0
2020-03-17,5335.0,5365.0,5127.0,5145.5,27627,0,0.0
2020-03-18,5156.0,5191.0,4681.0,4733.0,33985,0,0.0
2020-03-19,4780.0,4845.0,4371.0,4809.0,30513,0,0.0
2020-03-20,4741.0,4938.5,4613.0,4698.0,25437,0,0.0
2020-03-23,4675.0,4676.0,4461.0,4597.0,23871,0,0.0
2020-03-24,4701.5,4929.5,4643.5,4843.0,21181,0,0.0
2020-03-25,4849.0,4890.5,4745.0,4869.0,13878,0,0.0
2020-03-26,4854.5,4854.5,4767.0,4811.0,10401,0,0.0
2020-03-27,4832.0,4866.5,4768.5,4810.5,11616,0,0.0
2020-03-30,4766.0,4803.5,4739.5,4756.0,10644,0,0.0
2020-03-31,4800.0,4971.0,4800.0,4924.5,14352,0,0.0
2020-04-01,4898.0,4912.5,4769.0,4804.5,15408,0,0.0
2020-04-02,4799.5,4936.0,4760.0,4881.5,15166,0,0.0
2020-04-03,4880.0,4936.5,4833.5,4841.0,10154,0,0.0
2020-04-06,4844.5,4927.0,4841.0,4904.0,7310,0,0.0
2020-04-07,4941.0,5114.0,4937.0,5022.5,20186,0,0.0
2020-04-08,4995.0,5065.0,4964.0,5021.0,14237,0,0.0
2020-04-09,5041.0,5070.0,4984.0,5021.0,12066,0,0.0
2020-04-14,5140.0,5200.0,5127.0,5155.0,8329,0,0.0
2020-04-15,5175.0,5184.0,5070.0,5109.5,11194,0,0.0
2020-04-16,5101.5,5150.0,5092.0,5113.0,10029,0,0.0
2020-04-17,5165.0,5237.5,5165.0,5207.5,16553,0,0.0
2020-04-20,5197.5,5248.0,5161.0,5174.0,13229,0,0.0
2020-04-21,5155.0,5182.0,4953.0,5025.5,21510,0,0.0
2020-04-22,5070.0,5137.0,4973.5,5108.5,14689,0,0.0
2020-04-23,5105.0,5210.0,5084.0,5139.0,12891,0,0.0
2020-04-24,5144.0,5190.0,5105.0,5188.0,10864,0,0.0
2020-04-27,5200.0,5269.0,5153.5,5184.0,14499,0,0.0
2020-04-28,5180.5,5252.0,5170.0,5208.0,14986,0,0.0
2020-04-29,5200.0,5280.0,5197.0,5246.0,13639,0,0.0
2020-04-30,5278.0,5294.5,5177.0,5183.0,16187,0,0.0
2020-05-01,5167.0,5170.0,5077.0,5106.0,12958,0,0.0
2020-05-04,5085.0,5134.5,5060.0,5129.0,9093,0,0.0
2020-05-05,5140.0,5185.0,5117.0,5175.0,9223,0,0.0
2020-05-06,5177.0,5242.0,5146.5,5215.5,16533,0,0.0
2020-05-07,5188.0,5295.0,5188.0,5276.5,14938,0,0.0
2020-05-11,5309.0,5370.0,5244.5,5278.5,16502,0,0.0
2020-05-12,5266.0,5291.5,5220.0,5229.0,12425,0,0.0
2020-05-13,5199.0,5272.5,5189.0,5212.0,12697,0,0.0
2020-05-14,5223.0,5235.5,5146.0,5213.0,16725,0,0.0
2020-05-15,5235.0,5272.0,5176.0,5185.5,13899,0,0.0
2020-05-18,5205.0,5347.0,5205.0,5345.0,18491,0,0.0
2020-05-19,5374.0,5377.5,5322.0,5353.0,14640,0,0.0
2020-05-20,5343.5,5455.0,5328.0,5445.0,14642,0,0.0
2020-05-21,5444.0,5464.0,5380.0,5390.0,16026,0,0.0
2020-05-22,5381.0,5390.0,5261.5,5301.5,14630,0,0.0
2020-05-26,5337.5,5404.5,5333.0,5366.0,12526,0,0.0
2020-05-27,5345.0,5368.0,5246.0,5295.5,16643,0,0.0
2020-05-28,5303.0,5381.5,5294.0,5372.0,11535,0,0.0
2020-05-29,5350.0,5387.5,5319.5,5380.0,12722,0,0.0
2020-06-01,5400.0,5488.0,5385.0,5482.5,20317,0,0.0
2020-06-02,5472.0,5532.0,5450.0,5518.0,15464,0,0.0
2020-06-03,5537.5,5552.0,5487.0,5508.5,15618,0,0.0
2020-06-04,5498.5,5546.0,5448.5,5522.5,13117,0,0.0
2020-06-05,5510.0,5698.0,5507.5,5658.0,23668,0,0.0
2020-06-08,5660.0,5719.0,5618.0,5715.5,14742,0,0.0
2020-06-09,5729.0,5780.0,5676.0,5765.0,19150,0,0.0
2020-06-10,5780.0,5913.5,5776.5,5903.5,24357,0,0.0
2020-06-11,5902.0,5928.0,5738.0,5750.0,21112,0,0.0
2020-06-12,5720.0,5842.0,5688.0,5775.0,19423,0,0.0
2020-06-15,5774.0,5774.0,5665.5,5736.5,16978,0,0.0
2020-06-16,5772.0,5836.0,5698.0,5740.5,24378,0,0.0
2020-06-17,5741.0,5804.0,5713.0,5795.0,13184,0,0.0
2020-06-18,5775.5,5862.5,5751.5,5798.5,15703,0,0.0
2020-06-19,5809.0,5899.0,5787.0,5809.5,16526,0,0.0
2020-06-22,5807.0,5902.0,5807.0,5893.0,15217,0,0.0
2020-06-23,5904.0,5920.0,5823.0,5907.0,15719,0,0.0
2020-06-24,5902.0,5948.0,5858.0,5885.0,16648,0,0.0
2020-06-25,5873.0,5943.5,5852.0,5933.0,11200,0,0.0
2020-06-26,5939.5,6006.0,5923.0,5941.5,13852,0,0.0
2020-06-29,5931.0,5993.0,5924.5,5965.0,14317,0,0.0
2020-06-30,5980.0,6055.0,5971.0,6038.5,21202,0,0.0
2020-07-01,6038.0,6094.0,5995.0,6054.5,21863,0,0.0
2020-07-02,6090.0,6120.0,6047.5,6090.5,15004,0,0.0
2020-07-03,6082.0,6085.0,5987.0,6015.0,12391,0,0.0
2020-07-06,6040.5,6143.0,6031.0,6138.0,16070,0,0.0
2020-07-07,6158.0,6195.0,6076.0,6191.0,17018,0,0.0
2020-07-08,6180.0,6248.0,6168.0,6233.5,17662,0,0.0
2020-07-09,6247.0,6360.0,6246.0,6294.0,23385,0,0.0
2020-07-10,6305.0,6429.5,6253.5,6423.0,22485,0,0.0
2020-07-13,6455.0,6633.0,6439.5,6545.5,34340,0,0.0
2020-07-14,6500.0,6532.5,6431.0,6500.0,17578,0,0.0
2020-07-15,6540.0,6550.0,6373.5,6391.0,21055,0,0.0
2020-07-16,6404.0,6442.5,6305.5,6410.0,18415,0,0.0
2020-07-17,6419.5,6464.0,6387.5,6437.0,11216,0,0.0
2020-07-20,6446.5,6522.5,6387.0,6469.5,13595,0,0.0
2020-07-21,6488.5,6565.0,6473.0,6563.0,12851,0,0.0
2020-07-22,6569.0,6601.5,6415.5,6475.5,18921,0,0.0
2020-07-23,6485.0,6552.0,6433.5,6505.0,12806,0,0.0
2020-07-24,6486.5,6506.5,6366.0,6399.5,20606,0,0.0
2020-07-27,6410.5,6471.0,6389.5,6430.5,11263,0,0.0
2020-07-28,6466.0,6520.5,6389.5,6466.5,15550,0,0.0
2020-07-29,6458.0,6505.0,6426.0,6475.0,10849,0,0.0
2020-07-30,6499.0,6505.0,6392.0,6453.0,12426,0,0.0
2020-07-31,6473.0,6500.0,6375.0,6376.0,18055,0,0.0
2020-08-03,6358.0,6505.0,6301.0,6476.0,20308,0,0.0
2020-08-04,6493.0,6493.0,6409.0,6450.0,11681,0,0.0
2020-08-05,6465.0,6538.0,6434.0,6485.0,20645,0,0.0
2020-08-06,6489.5,6511.5,6433.0,6483.5,11868,0,0.0
2020-08-07,6494.0,6495.5,6226.0,6235.0,25450,0,0.0
2020-08-10,6244.5,6428.0,6234.0,6398.5,20660,0,0.0
2020-08-11,6397.0,6416.0,6338.0,6404.0,11490,0,0.0
2020-08-12,6352.0,6450.0,6268.5,6435.0,21269,0,0.0
2020-08-13,6425.0,6439.5,6252.0,6267.0,19730,0,0.0
2020-08-14,6265.0,6384.5,6256.0,6365.5,15415,0,0.0
2020-08-17,6364.0,6489.5,6344.0,6448.0,14722,0,0.0
2020-08-18,6462.5,6600.5,6427.0,6594.0,23604,0,0.0
2020-08-19,6602.0,6707.0,6576.0,6686.0,26305,0,0.0
2020-08-20,6635.0,6651.5,6560.0,6612.5,14697,0,0.0
2020-08-21,6646.0,6650.0,6465.0,6488.0,17823,0,0.0
2020-08-24,6500.0,6580.0,6493.0,6514.5,11012,0,0.0
2020-08-25,6519.0,6544.0,6489.5,6534.0,8691,0,0.0
2020-08-26,6545.0,6603.0,6526.5,6597.0,10225,0,0.0
2020-08-27,6607.0,6653.0,6541.5,6623.0,14237,0,0.0
2020-08-28,6633.5,6709.5,6624.5,6675.5,15272,0,0.0
2020-09-01,6722.0,6830.0,6682.0,6682.5,22760,0,0.0
2020-09-02,6690.0,6722.0,6636.5,6686.5,14083,0,0.0
2020-09-03,6700.0,6722.5,6546.5,6582.0,18709,0,0.0
2020-09-04,6565.5,6780.0,6565.5,6779.0,20360,0,0.0
2020-09-07,6791.0,6822.5,6728.0,6792.0,11975,0,0.0
2020-09-08,6779.0,6810.5,6640.5,6706.0,15984,0,0.0
2020-09-09,6679.0,6765.5,6658.5,6758.5,12291,0,0.0
2020-09-10,6766.5,6773.5,6609.0,6631.0,15880,0,0.0
2020-09-11,6611.0,6755.5,6589.0,6711.0,13933,0,0.0
2020-09-14,6745.0,6800.0,6705.5,6779.5,11765,0,0.0
2020-09-15,6778.0,6829.5,6747.0,6758.0,12396,0,0.0
2020-09-16,6751.0,6794.0,6735.0,6789.0,9528,0,0.0
2020-09-17,6779.0,6797.0,6676.0,6793.0,16316,0,0.0
2020-09-18,6803.0,6875.0,6774.0,6850.0,15940,0,0.0
2020-09-21,6833.0,6877.5,6655.0,6680.0,21893,0,0.0
2020-09-22,6705.0,6807.0,6702.5,6769.0,17490,0,0.0
2020-09-23,6768.5,6768.5,6593.0,6593.0,26127,0,0.0
2020-09-24,6566.0,6582.5,6449.0,6571.5,28241,0,0.0
2020-09-25,6578.0,6610.0,6502.0,6552.0,15646,0,0.0
2020-09-28,6576.0,6639.5,6540.0,6594.0,14314,0,0.0
2020-09-29,6615.0,6624.5,6524.0,6606.0,15479,0,0.0
2020-09-30,6616.5,6698.0,6563.0,6684.5,16020,0,0.0
2020-10-01,6680.0,6710.0,6328.5,6342.5,25093,0,0.0
2020-10-02,6355.0,6583.5,6269.0,6544.0,24164,0,0.0
2020-10-05,6563.0,6579.0,6471.0,6520.5,9134,0,0.0
2020-10-06,6537.0,6558.0,6508.0,6535.5,7662,0,0.0
2020-10-07,6480.0,6710.0,6455.0,6661.0,19984,0,0.0
2020-10-08,6667.0,6689.0,6619.5,6667.0,12365,0,0.0
2020-10-09,6676.0,6781.0,6676.0,6772.0,19707,0,0.0
2020-10-12,6745.0,6785.0,6706.0,6735.5,11121,0,0.0
2020-10-13,6734.5,6734.5,6657.0,6682.0,14225,0,0.0
2020-10-14,6690.5,6748.0,6684.0,6714.5,11250,0,0.0
2020-10-15,6703.0,6787.0,6668.0,6776.0,14994,0,0.0
2020-10-16,6785.0,6791.5,6718.5,6726.0,11376,0,0.0
2020-10-19,6722.5,6812.0,6722.0,6768.0,13112,0,0.0
2020-10-20,6760.0,6937.5,6750.0,6903.5,19301,0,0.0
2020-10-21,6886.0,7034.0,6882.0,6995.5,20856,0,0.0
2020-10-22,6981.5,6987.0,6883.5,6907.5,12540,0,0.0
2020-10-23,6910.5,6926.0,6855.0,6873.0,9959,0,0.0
2020-10-26,6860.5,6872.0,6756.5,6774.0,12908,0,0.0
2020-10-27,6779.0,6827.0,6764.5,6788.0,8920,0,0.0
2020-10-28,6777.0,6822.5,6698.0,6745.5,15907,0,0.0
2020-10-29,6748.0,6794.0,6698.0,6736.0,10416,0,0.0
2020-10-30,6727.0,6777.0,6693.0,6710.5,15466,0,0.0
2020-11-02,6697.0,6812.0,6672.0,6772.0,15694,0,0.0
2020-11-03,6798.0,6855.5,6778.5,6779.0,12632,0,0.0
2020-11-04,6728.0,6849.5,6670.0,6829.5,22350,0,0.0
2020-11-05,6837.5,6891.0,6780.0,6865.0,14630,0,0.0
