date,value
2020-01-02,6207.0
2020-01-03,6136.5
2020-01-06,6143.0
2020-01-07,6167.5
2020-01-08,6189.0
2020-01-09,6161.5
2020-01-10,6203.0
2020-01-13,6289.5
2020-01-14,6308.5
2020-01-15,6302.0
2020-01-16,6267.0
2020-01-17,6267.5
2020-01-20,6262.0
2020-01-21,6145.0
2020-01-22,6103.5
2020-01-23,6026.0
2020-01-24,5922.5
2020-01-27,5747.0
2020-01-28,5699.5
2020-01-29,5647.5
2020-01-30,5565.0
2020-01-31,5558.0
2020-02-03,5559.5
2020-02-04,5634.5
2020-02-05,5719.0
2020-02-06,5742.0
2020-02-07,5654.5
2020-02-10,5659.0
2020-02-11,5724.5
2020-02-12,5760.5
2020-02-13,5788.0
2020-02-14,5756.0
2020-02-17,5820.0
2020-02-18,5765.0
2020-02-19,5779.5
2020-02-20,5737.5
2020-02-21,5761.5
2020-02-24,5688.5
2020-02-25,5679.0
2020-02-26,5661.0
2020-02-27,5654.5
2020-02-28,5588.5
2020-03-02,5723.0
2020-03-03,5658.5
2020-03-04,5692.0
2020-03-05,5670.5
2020-03-06,5630.5
2020-03-09,5524.0
2020-03-10,5585.0
2020-03-11,5507.5
2020-03-12,5435.0
2020-03-13,5452.0
2020-03-16,5285.0
2020-03-17,5145.5
2020-03-18,4733.0
2020-03-19,4809.0
2020-03-20,4698.0
2020-03-23,4597.0
2020-03-24,4843.0
2020-03-25,4869.0
2020-03-26,4811.0
2020-03-27,4810.5
2020-03-30,4756.0
2020-03-31,4924.5
2020-04-01,4804.5
2020-04-02,4881.5
2020-04-03,4841.0
2020-04-06,4904.0
2020-04-07,5022.5
2020-04-08,5021.0
2020-04-09,5021.0
2020-04-14,5155.0
2020-04-15,5109.5
2020-04-16,5113.0
2020-04-17,5207.5
2020-04-20,5174.0
2020-04-21,5025.5
2020-04-22,5108.5
2020-04-23,5139.0
2020-04-24,5188.0
2020-04-27,5184.0
2020-04-28,5208.0
2020-04-29,5246.0
2020-04-30,5183.0
2020-05-01,5106.0
2020-05-04,5129.0
2020-05-05,5175.0
2020-05-06,5215.5
2020-05-07,5276.5
2020-05-11,5278.5
2020-05-12,5229.0
2020-05-13,5212.0
2020-05-14,5213.0
2020-05-15,5185.5
2020-05-18,5345.0
2020-05-19,5353.0
2020-05-20,5445.0
2020-05-21,5390.0
2020-05-22,5301.5
2020-05-26,5366.0
2020-05-27,5295.5
2020-05-28,5372.0
2020-05-29,5380.0
2020-06-01,5482.5
2020-06-02,5518.0
2020-06-03,5508.5
2020-06-04,5522.5
2020-06-05,5658.0
2020-06-08,5715.5
2020-06-09,5765.0
2020-06-10,5903.5
2020-06-11,5750.0
2020-06-12,5775.0
2020-06-15,5736.5
2020-06-16,5740.5
2020-06-17,5795.0
2020-06-18,5798.5
2020-06-19,5809.5
2020-06-22,5893.0
2020-06-23,5907.0
2020-06-24,5885.0
2020-06-25,5933.0
2020-06-26,5941.5
2020-06-29,5965.0
2020-06-30,6038.5
2020-07-01,6054.5
2020-07-02,6090.5
2020-07-03,6015.0
2020-07-06,6138.0
2020-07-07,6191.0
2020-07-08,6233.5
2020-07-09,6294.0
2020-07-10,6423.0
2020-07-13,6545.5
2020-07-14,6500.0
2020-07-15,6391.0
2020-07-16,6410.0
2020-07-17,6437.0
2020-07-20,6469.5
2020-07-21,6563.0
2020-07-22,6475.5
2020-07-23,6505.0
2020-07-24,6399.5
2020-07-27,6430.5
2020-07-28,6466.5
2020-07-29,6475.0
2020-07-30,6453.0
2020-07-31,6376.0
2020-08-03,6476.0
2020-08-04,6450.0
2020-08-05,6485.0
2020-08-06,6483.5
2020-08-07,6235.0
2020-08-10,6398.5
2020-08-11,6404.0
2020-08-12,6435.0
2020-08-13,6267.0
2020-08-14,6365.5
2020-08-17,6448.0
2020-08-18,6594.0
2020-08-19,6686.0
2020-08-20,6612.5
2020-08-21,6488.0
2020-08-24,6514.5
2020-08-25,6534.0
2020-08-26,6597.0
2020-08-27,6623.0
2020-08-28,6675.5
2020-09-01,6682.5
2020-09-02,6686.5
2020-09-03,6582.0
2020-09-04,6779.0
2020-09-07,6792.0
2020-09-08,6706.0
2020-09-09,6758.5
2020-09-10,6631.0
2020-09-11,6711.0
2020-09-14,6779.5
2020-09-15,6758.0
2020-09-16,6789.0
2020-09-17,6793.0
2020-09-18,6850.0
2020-09-21,6680.0
2020-09-22,6769.0
2020-09-23,6593.0
2020-09-24,6571.5
2020-09-25,6552.0
2020-09-28,6594.0
2020-09-29,6606.0
2020-09-30,6684.5
2020-10-01,6342.5
2020-10-02,6544.0
2020-10-05,6520.5
2020-10-06,6535.5
2020-10-07,6661.0
2020-10-08,6667.0
2020-10-09,6772.0
2020-10-12,6735.5
2020-10-13,6682.0
2020-10-14,6714.5
2020-10-15,6776.0
2020-10-16,6726.0
2020-10-19,6768.0
2020-10-20,6903.5
2020-10-21,6995.5
2020-10-22,6907.5
2020-10-23,6873.0
2020-10-26,6774.0
2020-10-27,6788.0
2020-10-28,6745.5
2020-10-29,6736.0
2020-10-30,6710.5
2020-11-02,6772.0
2020-11-03,6779.0
2020-11-04,6829.5
2020-11-05,6865.0
2020-11-06,6945.0
2020-11-09,6939.5
2020-11-10,6961.0
2020-11-11,6883.0
2020-11-12,6915.0
2020-11-13,6997.0
2020-11-16,7095.0
2020-11-17,7071.5
2020-11-18,7066.5
2020-11-19,7088.0
2020-11-20,7260.5
2020-11-23,7208.0
2020-11-24,7307.5
2020-11-25,7326.0
2020-11-26,7411.0
2020-11-27,7505.0
2020-11-30,7562.5
2020-12-01,7697.5
2020-12-02,7674.5
2020-12-03,7658.5
2020-12-04,7755.0
2020-12-07,7717.5
2020-12-08,7707.0
2020-12-09,7690.0
2020-12-10,7869.0
2020-12-11,7768.5
2020-12-14,7767.0
2020-12-15,7807.0
2020-12-16,7814.0
2020-12-17,7938.0
2020-12-18,7991.0
2020-12-21,7875.0
2020-12-22,7746.0
2020-12-23,7847.0
2020-12-24,7823.0
2020-12-29,7821.0
2020-12-30,7816.5
2020-12-31,7753.0
2021-01-04,7855.0
2021-01-05,8047.0
2021-01-06,8073.0
2021-01-07,8166.5
2021-01-08,8083.0
2021-01-11,7845.0
2021-01-12,7999.0
2021-01-13,7971.0
2021-01-14,8080.5
2021-01-15,7934.0
2021-01-18,7940.0
2021-01-19,7991.0
2021-01-20,8037.0
2021-01-21,8034.0
2021-01-22,7983.0
2021-01-25,8005.5
2021-01-26,7991.0
2021-01-27,7841.0
2021-01-28,7901.0
2021-01-29,7809.0
2021-02-01,7822.5
2021-02-02,7752.0
2021-02-03,7844.5
2021-02-04,7814.5
2021-02-05,7983.0
2021-02-08,8071.0
2021-02-09,8155.5
2021-02-10,8275.5
2021-02-11,8290.0
2021-02-12,8315.0
2021-02-15,8393.5
2021-02-16,8425.0
2021-02-17,8410.0
2021-02-18,8601.5
2021-02-19,8940.0
2021-02-22,9111.5
2021-02-23,9245.0
2021-02-24,9497.5
2021-02-25,9348.5
2021-02-26,8996.5
2021-03-01,9020.5
2021-03-02,9271.0
2021-03-03,9118.0
2021-03-04,8576.0
2021-03-05,8977.0
2021-03-08,9006.5
2021-03-09,8825.0
2021-03-10,8885.0
2021-03-11,9125.0
2021-03-12,9126.5
2021-03-15,9116.5
2021-03-16,8923.0
2021-03-17,9128.5
2021-03-18,8992.0
2021-03-19,9060.5
2021-03-22,9127.0
2021-03-23,8870.0
2021-03-24,8887.0
2021-03-25,8799.0
2021-03-26,8950.0
2021-03-29,8879.0
2021-03-30,8747.5
2021-03-31,8808.0
2021-04-01,8805.0
2021-04-06,9037.5
2021-04-07,8928.0
2021-04-08,9005.5
2021-04-09,8929.0
2021-04-12,8870.0
2021-04-13,8896.0
2021-04-14,9080.0
2021-04-15,9310.0
2021-04-16,9178.0
2021-04-19,9319.0
2021-04-20,9285.0
2021-04-21,9446.0
2021-04-22,9395.0
2021-04-23,9548.0
2021-04-26,9770.5
2021-04-27,9872.0
2021-04-28,9856.0
2021-04-29,9856.0
2021-04-30,9807.0
2021-05-04,9945.5
2021-05-05,9931.0
2021-05-06,10112.0
2021-05-07,10411.0
2021-05-10,10478.5
2021-05-11,10556.0
2021-05-12,10410.5
2021-05-13,10286.0
2021-05-14,10227.5
2021-05-17,10362.5
2021-05-18,10416.0
2021-05-19,10073.5
2021-05-20,10008.0
2021-05-21,9900.0
2021-05-24,9980.5
2021-05-25,9935.0
2021-05-26,9958.0
2021-05-27,10290.0
2021-05-28,10274.0
2021-06-01,10236.5
2021-06-02,10106.0
2021-06-03,9818.5
2021-06-04,9955.0
2021-06-07,9944.5
2021-06-08,10011.5
2021-06-09,9970.0
2021-06-10,9890.5
2021-06-11,9991.5
2021-06-14,9956.0
2021-06-15,9552.0
2021-06-16,9630.0
2021-06-17,9184.5
2021-06-18,9142.0
2021-06-21,9180.0
2021-06-22,9266.0
2021-06-23,9485.5
2021-06-24,9457.5
2021-06-25,9428.0
2021-06-28,9387.5
2021-06-29,9342.0
2021-06-30,9380.0
2021-07-01,9268.0
2021-07-02,9370.0
2021-07-05,9509.0
2021-07-06,9304.0
2021-07-07,9442.0
2021-07-08,9327.0
2021-07-09,9492.0
2021-07-12,9455.0
2021-07-13,9401.5
2021-07-14,9334.5
2021-07-15,9424.0
2021-07-16,9441.0
2021-07-19,9193.5
2021-07-20,9338.0
2021-07-21,9349.5
2021-07-22,9453.0
2021-07-23,9624.0
2021-07-26,9845.0
2021-07-27,9785.0
2021-07-28,9660.0
2021-07-29,9840.0
2021-07-30,9714.0
2021-08-02,9614.0
2021-08-03,9555.0
2021-08-04,9464.0
2021-08-05,9479.5
2021-08-06,9460.5
2021-08-09,9365.0
2021-08-10,9504.5
2021-08-11,9534.0
2021-08-12,9465.0
2021-08-13,9520.0
2021-08-16,9438.0
2021-08-17,9222.0
2021-08-18,9049.5
2021-08-19,8885.0
2021-08-20,9049.0
2021-08-23,9238.0
2021-08-24,9348.0
2021-08-25,9345.0
2021-08-26,9299.0
2021-08-27,9420.0
2021-08-31,9523.0
2021-09-01,9336.0
2021-09-02,9400.0
2021-09-03,9465.0
2021-09-06,9454.0
2021-09-07,9336.0
2021-09-08,9266.0
2021-09-09,9388.5
2021-09-10,9685.0
2021-09-13,9532.0
2021-09-14,9430.0
2021-09-15,9608.5
2021-09-16,9332.0
2021-09-17,9262.0
2021-09-20,9005.0
2021-09-21,9013.0
2021-09-22,9295.0
2021-09-23,9279.0
2021-09-24,9355.0
2021-09-27,9350.5
2021-09-28,9256.0
2021-09-29,9157.0
2021-09-30,8944.0
2021-10-01,9153.5
2021-10-04,9268.0
2021-10-05,9141.0
2021-10-06,9081.0
2021-10-07,9297.5
2021-10-08,9343.0
2021-10-11,9521.0
2021-10-12,9448.5
2021-10-13,9713.0
2021-10-14,10000.0
2021-10-15,10215.0
2021-10-18,10195.0
2021-10-19,10118.5
2021-10-20,10208.5
2021-10-21,9784.0
2021-10-22,9733.0
2021-10-25,9841.0
2021-10-26,9762.0
2021-10-27,9573.5
2021-10-28,9640.0
2021-10-29,9534.0
2021-11-01,9501.5
2021-11-02,9506.0
2021-11-03,9480.5
2021-11-04,9413.0
2021-11-05,9494.0
2021-11-08,9655.5
2021-11-09,9562.0
2021-11-10,9476.0
2021-11-11,9625.5
2021-11-12,9745.5
2021-11-15,9653.5
2021-11-16,9529.5
2021-11-17,9363.0
2021-11-18,9473.5
2021-11-19,9649.0
2021-11-22,9671.0
2021-11-23,9729.0
2021-11-24,9845.0
2021-11-25,9758.0
2021-11-26,9451.0
2021-11-29,9596.0
2021-11-30,9451.0
2021-12-01,9370.0
2021-12-02,9462.0
2021-12-03,9407.0
2021-12-06,9570.0
