date,open,high,low,close,volume,hold,settle
2013-03-22,1280.0,1304.0,1257.0,1267.0,845512,96086,1276.0
2013-03-25,1276.0,1286.0,1251.0,1258.0,722022,139712,1266.0
2013-03-26,1255.0,1276.0,1249.0,1272.0,835326,141544,1265.0
2013-03-27,1279.0,1279.0,1260.0,1261.0,499234,126094,1266.0
2013-03-28,1264.0,1273.0,1248.0,1259.0,646266,99004,1263.0
2013-03-29,1257.0,1268.0,1231.0,1240.0,734728,96024,1252.0
2013-04-01,1235.0,1242.0,1202.0,1202.0,710132,155262,1215.0
2013-04-02,1197.0,1231.0,1192.0,1228.0,1049448,130106,1209.0
2013-04-03,1225.0,1233.0,1214.0,1216.0,606564,103114,1221.0
2013-04-08,1199.0,1223.0,1197.0,1220.0,555970,121180,1211.0
2013-04-09,1222.0,1232.0,1213.0,1223.0,551698,143828,1223.0
2013-04-10,1225.0,1227.0,1211.0,1215.0,377802,133686,1218.0
2013-04-11,1209.0,1225.0,1202.0,1206.0,403510,137344,1214.0
2013-04-12,1206.0,1220.0,1203.0,1209.0,462186,137526,1212.0
2013-04-15,1191.0,1195.0,1164.0,1174.0,442460,128974,1181.0
2013-04-16,1160.0,1180.0,1151.0,1179.0,326226,118742,1170.0
2013-04-17,1182.0,1189.0,1148.0,1165.0,702122,121140,1163.0
2013-04-18,1149.0,1169.0,1127.0,1157.0,571028,123652,1145.0
2013-04-19,1160.0,1167.0,1148.0,1163.0,428568,123092,1158.0
2013-04-22,1161.0,1164.0,1146.0,1146.0,273978,112424,1150.0
2013-04-23,1151.0,1153.0,1129.0,1134.0,239490,104430,1139.0
2013-04-24,1134.0,1158.0,1129.0,1145.0,410522,98632,1141.0
2013-04-25,1144.0,1148.0,1137.0,1142.0,158444,87468,1142.0
2013-04-26,1147.0,1155.0,1136.0,1138.0,165514,76072,1145.0
2013-05-02,1123.0,1123.0,1102.0,1119.0,111004,82206,1118.0
2013-05-03,1128.0,1138.0,1124.0,1129.0,182180,91990,1129.0
2013-05-06,1147.0,1149.0,1135.0,1140.0,119430,86880,1141.0
2013-05-07,1135.0,1148.0,1131.0,1134.0,108358,82130,1138.0
2013-05-08,1133.0,1149.0,1132.0,1148.0,89126,85916,1140.0
2013-05-09,1146.0,1150.0,1138.0,1142.0,89712,83144,1143.0
2013-05-10,1142.0,1153.0,1137.0,1150.0,87178,81344,1144.0
2013-05-13,1150.0,1187.0,1146.0,1178.0,339222,90620,1172.0
2013-05-14,1179.0,1185.0,1161.0,1180.0,298132,89308,1174.0
2013-05-15,1176.0,1180.0,1143.0,1145.0,312422,82016,1164.0
2013-05-16,1146.0,1157.0,1125.0,1146.0,321066,83884,1144.0
2013-05-17,1150.0,1165.0,1142.0,1163.0,346354,80466,1154.0
2013-05-20,1161.0,1173.0,1160.0,1162.0,207376,84028,1166.0
2013-05-21,1166.0,1171.0,1151.0,1163.0,204500,87446,1160.0
2013-05-22,1159.0,1175.0,1158.0,1170.0,171670,88040,1167.0
2013-05-23,1159.0,1164.0,1145.0,1145.0,175054,82002,1156.0
2013-05-24,1149.0,1156.0,1143.0,1144.0,136242,82428,1151.0
2013-05-27,1141.0,1141.0,1126.0,1127.0,133258,79374,1134.0
2013-05-28,1128.0,1131.0,1119.0,1125.0,123140,83870,1124.0
2013-05-29,1125.0,1130.0,1108.0,1111.0,153690,92118,1121.0
2013-05-30,1103.0,1114.0,1100.0,1108.0,182216,92916,1107.0
2013-05-31,1115.0,1115.0,1093.0,1094.0,162744,100388,1102.0
2013-06-03,1094.0,1105.0,1084.0,1098.0,213142,97522,1093.0
2013-06-04,1101.0,1102.0,1090.0,1102.0,154230,99082,1096.0
2013-06-05,1105.0,1105.0,1092.0,1100.0,140344,100090,1100.0
2013-06-06,1096.0,1096.0,1056.0,1056.0,299564,131436,1067.0
2013-06-07,1050.0,1054.0,1032.0,1042.0,293122,0,1043.0
2013-06-13,1033.0,1042.0,1025.0,1035.0,187906,129210,1033.0
2013-06-14,1039.0,1040.0,1024.0,1030.0,220264,143904,1031.0
2013-06-17,1034.0,1059.0,1031.0,1041.0,269668,131400,1045.0
2013-06-18,1045.0,1045.0,1035.0,1041.0,143168,133542,1040.0
2013-06-19,1040.0,1041.0,1023.0,1033.0,330166,154298,1029.0
2013-06-20,1025.0,1027.0,998.0,1005.0,382750,173054,1011.0
2013-06-21,995.0,1015.0,989.0,1006.0,265770,154314,1003.0
2013-06-24,1008.0,1018.0,996.0,998.0,257564,142646,1006.0
2013-06-25,1001.0,1013.0,996.0,1011.0,165938,126368,1004.0
2013-06-26,1015.0,1019.0,1000.0,1004.0,102428,119844,1005.0
2013-06-27,1005.0,1011.0,999.0,1006.0,58000,110328,1005.0
2013-06-28,1050.0,1062.0,1046.0,1052.0,223258,111328,1053.0
2013-07-01,1045.0,1059.0,1028.0,1040.0,447934,141094,1040.0
2013-07-02,1045.0,1046.0,1024.0,1034.0,642864,185388,1034.0
