date,open,high,low,close,volume,hold,settle
2023-07-21,238900.0,238900.0,214150.0,215100.0,59519,5854,220700.0
2023-07-24,214500.0,214700.0,209000.0,211400.0,40662,7680,211150.0
2023-07-25,211000.0,225900.0,211000.0,225900.0,61787,9213,222050.0
2023-07-26,226100.0,240450.0,223050.0,227800.0,95688,9122,230900.0
2023-07-27,234000.0,234100.0,223000.0,224900.0,44923,9603,228050.0
2023-07-28,223800.0,230450.0,222050.0,227900.0,42934,9217,227450.0
2023-07-31,228300.0,232850.0,227850.0,228050.0,33526,9667,230600.0
2023-08-01,229000.0,230000.0,225700.0,228400.0,20971,9785,228450.0
2023-08-02,228450.0,230350.0,227950.0,228550.0,16109,9731,229000.0
2023-08-03,226000.0,230050.0,224600.0,229650.0,19658,10136,228250.0
2023-08-04,231000.0,232600.0,228400.0,228950.0,12850,10314,229700.0
2023-08-07,227500.0,228800.0,219500.0,219800.0,29799,12270,223450.0
2023-08-08,219200.0,221450.0,216300.0,217000.0,30145,13918,218300.0
2023-08-09,217450.0,218200.0,215200.0,217800.0,25550,13673,216800.0
2023-08-10,217450.0,219000.0,210050.0,210500.0,32365,17113,214400.0
2023-08-11,210000.0,211700.0,205300.0,208800.0,51821,18289,208300.0
2023-08-14,207200.0,207500.0,196750.0,196750.0,51678,23419,201550.0
2023-08-15,196000.0,198050.0,193400.0,194500.0,78365,25479,195350.0
2023-08-16,194000.0,200300.0,192050.0,196250.0,76180,24567,197350.0
2023-08-17,196000.0,198350.0,192250.0,194000.0,67975,26791,194500.0
2023-08-18,195200.0,197700.0,194600.0,195750.0,42991,24198,196300.0
2023-08-21,198000.0,203500.0,196200.0,201150.0,58940,22723,199900.0
2023-08-22,201200.0,204350.0,197100.0,198300.0,54479,22567,200250.0
2023-08-23,198300.0,200200.0,195600.0,200000.0,40847,23417,198450.0
2023-08-24,200500.0,203000.0,197300.0,199450.0,36416,22465,199950.0
2023-08-25,199700.0,200950.0,194200.0,194250.0,37956,24946,197250.0
2023-08-28,195500.0,197900.0,183450.0,185500.0,82851,29278,189700.0
2023-08-29,185200.0,188700.0,180700.0,186350.0,76982,29393,185200.0
2023-08-30,188100.0,188800.0,184600.0,186100.0,59287,29534,186350.0
2023-08-31,186800.0,187200.0,180850.0,186850.0,77568,29530,184450.0
2023-09-01,187900.0,190650.0,185300.0,186750.0,75908,29406,187950.0
2023-09-04,187700.0,191900.0,187150.0,189900.0,65613,28964,189800.0
2023-09-05,191350.0,193900.0,188700.0,190450.0,65380,29405,191000.0
2023-09-06,191000.0,192450.0,189500.0,190550.0,44433,30278,191100.0
2023-09-07,190000.0,190100.0,183250.0,184700.0,61590,32985,185700.0
2023-09-08,183200.0,184100.0,175550.0,176500.0,112910,38903,179150.0
2023-09-11,176900.0,179500.0,170750.0,178650.0,83768,41553,176800.0
2023-09-12,178850.0,181850.0,176950.0,177750.0,86982,44536,179550.0
2023-09-13,177000.0,179250.0,174900.0,176050.0,73753,45820,176850.0
2023-09-14,175200.0,176100.0,169150.0,169150.0,127527,52682,172000.0
2023-09-15,170500.0,171300.0,167000.0,170100.0,112996,52203,169100.0
2023-09-18,169500.0,171000.0,166400.0,167150.0,81843,55569,168950.0
2023-09-19,166400.0,167250.0,158900.0,159400.0,129369,64943,163100.0
2023-09-20,158450.0,159700.0,153100.0,154150.0,204819,70230,156000.0
2023-09-21,153600.0,160500.0,153100.0,159950.0,220010,66110,157050.0
2023-09-22,160000.0,161950.0,154650.0,156150.0,251819,64039,158250.0
2023-09-25,156000.0,160500.0,155750.0,158750.0,193857,62330,158400.0
2023-09-26,158000.0,158300.0,149100.0,149100.0,268584,69608,153000.0
2023-09-27,149000.0,151900.0,145000.0,148450.0,322018,64804,148350.0
2023-09-28,150000.0,152500.0,147750.0,150000.0,197277,60869,149700.0
2023-10-09,150000.0,153300.0,148500.0,151900.0,111723,65157,150550.0
2023-10-10,152600.0,155300.0,150800.0,151900.0,182713,71144,153000.0
2023-10-11,152900.0,156000.0,152350.0,155900.0,150353,74313,154200.0
2023-10-12,157100.0,164950.0,156350.0,164950.0,221805,75862,161100.0
2023-10-13,167500.0,171000.0,166000.0,170250.0,284415,64239,168600.0
2023-10-16,171150.0,175050.0,164800.0,168900.0,374351,66260,169350.0
2023-10-17,168650.0,171500.0,165450.0,169150.0,291639,68624,168500.0
2023-10-18,170150.0,171550.0,165500.0,165900.0,265336,67659,168100.0
2023-10-19,164750.0,167050.0,157050.0,159450.0,319221,67712,163100.0
2023-10-20,157000.0,160150.0,151700.0,151950.0,368332,72387,156350.0
2023-10-23,152000.0,152600.0,148150.0,150800.0,360929,77018,150350.0
2023-10-24,151000.0,155100.0,150500.0,155000.0,276247,75975,153050.0
2023-10-25,156700.0,158150.0,150700.0,150950.0,369871,80037,153700.0
2023-10-26,150350.0,152600.0,148000.0,151150.0,371132,84140,150250.0
2023-10-27,151500.0,154450.0,149150.0,154050.0,381808,83815,152100.0
2023-10-30,154500.0,157450.0,152500.0,156850.0,327453,85077,154450.0
2023-10-31,155900.0,157700.0,151950.0,153750.0,399767,83965,154850.0
2023-11-01,153450.0,156150.0,152800.0,154000.0,359456,86155,154600.0
2023-11-02,153500.0,155300.0,151900.0,152400.0,262319,86387,153800.0
2023-11-03,153250.0,154400.0,150500.0,151400.0,251158,94098,152700.0
2023-11-06,150000.0,151500.0,146900.0,147150.0,272841,106826,149000.0
2023-11-07,146350.0,147150.0,141200.0,142550.0,349335,113986,143800.0
2023-11-08,141900.0,146300.0,138300.0,145350.0,584632,105461,143100.0
2023-11-09,145300.0,146750.0,142800.0,144150.0,323961,106948,144600.0
2023-11-10,144600.0,149750.0,143200.0,148900.0,374012,98275,147500.0
2023-11-13,149800.0,151400.0,141600.0,141650.0,382878,96198,147200.0
2023-11-14,141150.0,145350.0,140800.0,142550.0,367056,99509,142800.0
2023-11-15,144000.0,144450.0,141500.0,142600.0,269895,107801,142800.0
2023-11-16,142500.0,142700.0,140450.0,140900.0,234117,113750,141450.0
2023-11-17,139500.0,140350.0,137450.0,138000.0,260604,113629,138800.0
2023-11-20,138000.0,141300.0,136350.0,137200.0,243089,117274,138600.0
2023-11-21,137900.0,138400.0,131050.0,132300.0,342947,119970,134050.0
2023-11-22,132300.0,132800.0,124700.0,124700.0,531176,117891,127600.0
2023-11-23,124400.0,125450.0,120400.0,124800.0,581867,115204,122900.0
2023-11-24,125050.0,128450.0,122800.0,124050.0,699474,121691,125400.0
2023-11-27,123000.0,123400.0,116650.0,116650.0,532016,131927,119050.0
2023-11-28,114000.0,117600.0,111800.0,113200.0,569530,122796,114250.0
2023-11-29,113200.0,116450.0,108700.0,109850.0,760339,139951,112750.0
2023-11-30,110000.0,111350.0,106200.0,106200.0,579007,145034,109100.0
2023-12-01,106700.0,107100.0,101500.0,101750.0,754802,135390,103550.0
2023-12-04,101550.0,104500.0,96350.0,96350.0,852642,145341,100050.0
2023-12-05,96000.0,97600.0,93050.0,93050.0,409856,150080,94600.0
2023-12-06,89900.0,93900.0,85650.0,92450.0,678617,128782,89350.0
2023-12-07,93300.0,95600.0,91600.0,95600.0,195285,136259,93750.0
2023-12-08,101700.0,102300.0,100000.0,102300.0,35683,158316,101700.0
2023-12-11,113650.0,113800.0,95600.0,96800.0,802428,156695,101850.0
2023-12-12,96000.0,97000.0,91700.0,93100.0,674146,172604,94150.0
2023-12-13,92200.0,103550.0,90200.0,103550.0,741029,172000,94450.0
2023-12-14,104600.0,105450.0,93650.0,102550.0,888872,161651,100850.0
2023-12-15,102000.0,107950.0,100500.0,104600.0,547769,159950,105150.0
2023-12-18,104200.0,108150.0,100100.0,102750.0,491689,159746,104250.0
2023-12-19,102000.0,103900.0,100800.0,101900.0,261562,159563,102300.0
2023-12-20,101900.0,103500.0,100300.0,100800.0,166175,162654,101900.0
2023-12-21,100000.0,101850.0,95250.0,97600.0,322718,158076,97850.0
2023-12-22,97150.0,103650.0,96200.0,100800.0,313308,155842,100650.0
2023-12-25,100500.0,103950.0,100150.0,102850.0,157805,159077,102250.0
2023-12-26,102800.0,108100.0,102500.0,107100.0,260868,155209,106150.0
2023-12-27,107000.0,109450.0,103500.0,105700.0,264253,150793,106100.0
2023-12-28,105600.0,107350.0,104350.0,106550.0,153833,152061,106200.0
2023-12-29,106000.0,109100.0,104350.0,107700.0,197334,142958,106650.0
2024-01-02,107700.0,110300.0,106200.0,108350.0,143702,145602,108200.0
2024-01-03,108200.0,109200.0,106000.0,106600.0,129883,141743,107650.0
2024-01-04,106500.0,107150.0,100400.0,100450.0,194855,148982,103850.0
2024-01-05,100000.0,100000.0,97500.0,98650.0,182344,154263,98750.0
2024-01-08,98000.0,100500.0,96300.0,97200.0,146847,157724,98400.0
2024-01-09,97000.0,100500.0,95500.0,98950.0,203361,162038,98200.0
2024-01-10,98500.0,99800.0,97100.0,97900.0,107149,159002,98400.0
2024-01-11,98400.0,105000.0,98350.0,104700.0,214428,157286,101850.0
2024-01-12,104700.0,105300.0,102300.0,102850.0,142605,155914,103650.0
2024-01-15,102000.0,103350.0,100700.0,101950.0,103038,156970,101950.0
2024-01-16,102000.0,104500.0,102000.0,104150.0,109517,159478,103400.0
2024-01-17,104900.0,106000.0,100950.0,101750.0,131788,156573,103600.0
2024-01-18,102300.0,103450.0,100300.0,102400.0,125726,154594,101850.0
2024-01-19,102800.0,103200.0,101250.0,101400.0,87317,155078,102050.0
2024-01-22,100800.0,101900.0,98550.0,99850.0,108433,152252,100350.0
2024-01-23,100850.0,102700.0,100350.0,102000.0,92608,148288,101400.0
2024-01-24,102500.0,103100.0,101600.0,102350.0,72518,148399,102350.0
2024-01-25,103000.0,103400.0,100500.0,101350.0,85085,149167,101600.0
2024-01-26,101500.0,102500.0,100550.0,100650.0,80796,148248,101550.0
2024-01-29,101300.0,102800.0,99700.0,101950.0,77321,144728,101550.0
2024-01-30,101950.0,102500.0,100900.0,101000.0,54916,141118,101550.0
2024-01-31,101150.0,101900.0,98700.0,99150.0,102011,150388,100000.0
2024-02-01,98850.0,99950.0,98000.0,99600.0,58995,145032,99300.0
2024-02-02,99600.0,101500.0,99300.0,100150.0,71323,135549,100400.0
2024-02-05,100400.0,101250.0,99550.0,100450.0,45180,132983,100550.0
2024-02-06,100450.0,100650.0,96400.0,97150.0,110907,142239,98250.0
2024-02-07,97100.0,98350.0,97050.0,97650.0,42570,136452,97750.0
2024-02-08,97600.0,99000.0,95800.0,96300.0,57952,138228,97150.0
2024-02-19,97000.0,97950.0,94550.0,94750.0,66470,148907,96050.0
2024-02-20,95000.0,95500.0,92450.0,92800.0,103744,173155,93650.0
2024-02-21,92700.0,103000.0,92700.0,96900.0,324538,165643,97550.0
2024-02-22,96950.0,98450.0,96600.0,97650.0,119458,166013,97600.0
2024-02-23,98150.0,103000.0,98150.0,101800.0,206120,173784,100350.0
2024-02-26,102000.0,104750.0,101250.0,102300.0,215205,179602,103150.0
2024-02-27,102300.0,107600.0,101000.0,106650.0,246221,191979,104400.0
2024-02-28,107800.0,112250.0,107150.0,108000.0,376684,190062,109150.0
