date,open,high,low,close,volume,hold,settle
2005-01-04,2150.0,2155.0,2142.0,2150.0,58792,63364,0.0
2005-01-05,2131.0,2154.0,2127.0,2154.0,71172,62704,0.0
2005-01-06,2152.0,2168.0,2146.0,2167.0,66174,63948,0.0
2005-01-07,2175.0,2193.0,2162.0,2182.0,125558,61888,0.0
2005-01-10,2193.0,2200.0,2170.0,2177.0,87462,61274,0.0
2005-01-11,2196.0,2200.0,2182.0,2185.0,89982,68346,0.0
2005-01-12,2175.0,2185.0,2171.0,2173.0,59888,67496,0.0
2005-01-13,2158.0,2176.0,2158.0,2166.0,56822,62516,0.0
2005-01-14,2173.0,2179.0,2149.0,2152.0,101698,64886,0.0
2005-01-17,2130.0,2147.0,2128.0,2144.0,70536,69090,0.0
2005-01-18,2145.0,2150.0,2133.0,2148.0,97068,68762,0.0
2005-01-19,2141.0,2149.0,2138.0,2148.0,48676,68706,0.0
2005-01-20,2151.0,2155.0,2134.0,2138.0,50328,69594,0.0
2005-01-21,2146.0,2146.0,2132.0,2136.0,42586,69034,0.0
2005-01-24,2130.0,2156.0,2127.0,2155.0,79694,71630,0.0
2005-01-25,2148.0,2151.0,2137.0,2138.0,43222,71148,0.0
2005-01-26,2149.0,2152.0,2140.0,2146.0,44316,66562,0.0
2005-01-27,2143.0,2145.0,2135.0,2140.0,27990,64782,0.0
2005-01-28,2131.0,2133.0,2108.0,2117.0,84258,67622,0.0
2005-01-31,2118.0,2119.0,2086.0,2090.0,95226,70350,0.0
2005-02-01,2098.0,2102.0,2092.0,2098.0,42160,66892,0.0
2005-02-02,2080.0,2087.0,2073.0,2087.0,51436,64112,0.0
2005-02-03,2084.0,2097.0,2082.0,2096.0,26450,60480,0.0
2005-02-04,2088.0,2100.0,2086.0,2093.0,29572,55110,0.0
2005-02-16,2168.0,2168.0,2138.0,2141.0,53384,53412,0.0
2005-02-17,2144.0,2157.0,2134.0,2156.0,55822,58636,0.0
2005-02-18,2180.0,2198.0,2180.0,2187.0,90224,58992,0.0
2005-02-21,2191.0,2223.0,2187.0,2223.0,95812,74918,0.0
2005-02-22,2225.0,2293.0,2223.0,2293.0,245800,84064,0.0
2005-02-23,2327.0,2350.0,2298.0,2308.0,273168,89764,0.0
2005-02-24,2323.0,2361.0,2311.0,2359.0,345048,98676,0.0
2005-02-25,2331.0,2344.0,2313.0,2326.0,302260,93028,0.0
2005-02-28,2410.0,2422.0,2410.0,2422.0,50928,87024,0.0
2005-03-01,2460.0,2488.0,2443.0,2468.0,380232,93950,0.0
2005-03-02,2444.0,2560.0,2442.0,2560.0,540454,113592,0.0
2005-03-03,2580.0,2600.0,2545.0,2567.0,512330,111636,0.0
2005-03-04,2581.0,2612.0,2511.0,2556.0,734712,115546,0.0
2005-03-07,2580.0,2602.0,2566.0,2584.0,523262,127314,0.0
2005-03-08,2525.0,2536.0,2498.0,2523.0,429588,107596,0.0
2005-03-09,2560.0,2568.0,2533.0,2534.0,244772,115438,0.0
2005-03-10,2534.0,2562.0,2527.0,2558.0,323494,107418,0.0
2005-03-11,2585.0,2623.0,2585.0,2612.0,334558,106780,0.0
2005-03-14,2700.0,2709.0,2660.0,2709.0,203540,113688,0.0
2005-03-15,2730.0,2801.0,2711.0,2801.0,241514,111762,0.0
2005-03-16,2862.0,2871.0,2854.0,2871.0,88722,70840,0.0
2005-03-17,2856.0,2926.0,2825.0,2839.0,257330,53642,0.0
2005-03-18,2835.0,2866.0,2758.0,2758.0,150360,43990,0.0
2005-03-21,2720.0,2734.0,2699.0,2713.0,10958,4712,0.0
2005-03-22,2600.0,2659.0,2600.0,2628.0,76814,32586,0.0
2005-03-23,2628.0,2647.0,2585.0,2589.0,46118,27604,0.0
2005-03-24,2606.0,2674.0,2606.0,2643.0,81876,24988,0.0
2005-03-25,2663.0,2680.0,2658.0,2663.0,50704,25474,0.0
2005-03-28,2680.0,2680.0,2648.0,2658.0,21794,23820,0.0
2005-03-29,2645.0,2663.0,2641.0,2642.0,9538,17608,0.0
2005-03-30,2691.0,2691.0,2620.0,2630.0,8040,3534,0.0
2005-03-31,2643.0,2699.0,2643.0,2671.0,22968,21134,0.0
2005-04-01,2608.0,2608.0,2572.0,2585.0,13826,13916,0.0
2005-04-04,2581.0,2648.0,2581.0,2625.0,8008,3402,0.0
2005-04-05,2620.0,2632.0,2603.0,2618.0,5836,3632,0.0
2005-04-06,2635.0,2649.0,2620.0,2640.0,5142,4186,0.0
2005-04-07,2676.0,2688.0,2657.0,2672.0,4106,3864,0.0
2005-04-08,2660.0,2661.0,2634.0,2635.0,3040,3750,0.0
2005-04-11,2617.0,2622.0,2560.0,2571.0,6460,3168,0.0
2005-04-12,2573.0,2596.0,2570.0,2573.0,4422,7140,0.0
2005-04-13,2580.0,2588.0,2558.0,2570.0,3996,3428,0.0
2005-04-14,2596.0,2600.0,2567.0,2584.0,6782,3580,0.0
2005-04-15,2570.0,2579.0,2556.0,2568.0,2662,3566,0.0
2005-04-18,2568.0,2575.0,2537.0,2562.0,8432,3714,0.0
2005-04-19,2560.0,2608.0,2554.0,2605.0,9092,4778,0.0
2005-04-20,2667.0,2687.0,2661.0,2687.0,7876,5420,0.0
2005-04-21,2678.0,2706.0,2594.0,2606.0,27552,7482,0.0
2005-04-22,2650.0,2653.0,2617.0,2643.0,8402,7968,0.0
2005-04-25,2601.0,2673.0,2601.0,2667.0,25476,12414,0.0
2005-04-26,2643.0,2653.0,2637.0,2640.0,11374,14620,0.0
2005-04-27,2640.0,2644.0,2616.0,2619.0,5996,14918,0.0
2005-04-28,2615.0,2619.0,2590.0,2610.0,20290,14798,0.0
2005-04-29,2590.0,2601.0,2581.0,2592.0,4336,14470,0.0
2005-05-09,2638.0,2638.0,2596.0,2596.0,9390,16964,0.0
2005-05-10,2596.0,2602.0,2582.0,2595.0,5150,16662,0.0
2005-05-11,2588.0,2607.0,2582.0,2586.0,8972,17194,0.0
2005-05-12,2588.0,2600.0,2586.0,2589.0,3494,16972,0.0
2005-05-13,2571.0,2571.0,2506.0,2515.0,16252,17884,0.0
2005-05-16,2502.0,2535.0,2502.0,2526.0,7668,18348,0.0
2005-05-17,2540.0,2548.0,2486.0,2502.0,22118,17432,0.0
2005-05-18,2500.0,2529.0,2480.0,2523.0,18214,18566,0.0
2005-05-19,2541.0,2560.0,2520.0,2527.0,46714,24732,0.0
2005-05-20,2516.0,2534.0,2513.0,2530.0,17860,24188,0.0
2005-05-23,2550.0,2610.0,2546.0,2608.0,32672,27276,0.0
2005-05-24,2588.0,2596.0,2562.0,2571.0,39684,27978,0.0
2005-05-25,2599.0,2609.0,2585.0,2589.0,33084,30168,0.0
2005-05-26,2657.0,2691.0,2655.0,2687.0,60516,34244,0.0
2005-05-27,2728.0,2740.0,2708.0,2724.0,62040,34968,0.0
2005-05-30,2694.0,2747.0,2694.0,2722.0,70146,36988,0.0
2005-05-31,2760.0,2782.0,2732.0,2744.0,55846,37816,0.0
2005-06-01,2740.0,2762.0,2688.0,2695.0,99398,38288,0.0
2005-06-02,2712.0,2718.0,2672.0,2698.0,68668,39974,0.0
2005-06-03,2678.0,2692.0,2665.0,2685.0,52418,40330,0.0
2005-06-06,2740.0,2788.0,2730.0,2788.0,88278,56280,0.0
2005-06-07,2730.0,2757.0,2720.0,2740.0,83842,53790,0.0
2005-06-08,2721.0,2730.0,2703.0,2725.0,72164,55404,0.0
2005-06-09,2681.0,2720.0,2681.0,2712.0,167414,84942,0.0
2005-06-10,2750.0,2750.0,2718.0,2718.0,123560,79444,0.0
2005-06-13,2730.0,2740.0,2702.0,2708.0,73222,80876,0.0
2005-06-14,2720.0,2724.0,2692.0,2701.0,68702,74176,0.0
2005-06-15,2732.0,2754.0,2725.0,2752.0,141446,96248,0.0
2005-06-16,2797.0,2817.0,2778.0,2781.0,379272,129944,0.0
2005-06-17,2790.0,2795.0,2772.0,2786.0,289674,142718,0.0
2005-06-20,2896.0,2896.0,2838.0,2839.0,284212,152622,0.0
2005-06-21,2838.0,2844.0,2819.0,2842.0,379076,183890,0.0
2005-06-22,2860.0,2865.0,2835.0,2839.0,365890,179612,0.0
2005-06-23,2840.0,2842.0,2770.0,2774.0,449788,179550,0.0
2005-06-24,2777.0,2809.0,2766.0,2803.0,319988,190278,0.0
2005-06-27,2800.0,2804.0,2766.0,2771.0,343682,178778,0.0
2005-06-28,2667.0,2678.0,2667.0,2667.0,146126,166740,0.0
2005-06-29,2667.0,2692.0,2660.0,2690.0,263618,161044,0.0
2005-06-30,2692.0,2693.0,2637.0,2649.0,287560,151256,0.0
2005-07-01,2650.0,2685.0,2650.0,2682.0,245204,161354,0.0
2005-07-04,2690.0,2707.0,2671.0,2704.0,310394,167976,0.0
2005-07-05,2706.0,2720.0,2693.0,2702.0,256258,168688,0.0
2005-07-06,2733.0,2750.0,2708.0,2711.0,229164,153416,0.0
2005-07-07,2710.0,2718.0,2701.0,2703.0,129824,153764,0.0
2005-07-08,2690.0,2702.0,2681.0,2701.0,124288,150934,0.0
2005-07-11,2675.0,2689.0,2669.0,2681.0,94610,151110,0.0
2005-07-12,2690.0,2700.0,2682.0,2689.0,73504,144510,0.0
2005-07-13,2693.0,2693.0,2665.0,2665.0,64564,135560,0.0
2005-07-14,2680.0,2691.0,2674.0,2682.0,49374,129274,0.0
2005-07-15,2704.0,2721.0,2694.0,2710.0,68410,49156,0.0
2005-07-18,2725.0,2726.0,2695.0,2698.0,71228,52730,0.0
2005-07-19,2705.0,2705.0,2684.0,2694.0,59300,51682,0.0
2005-07-20,2660.0,2663.0,2596.0,2615.0,98526,55478,0.0
2005-07-21,2625.0,2645.0,2620.0,2640.0,105082,62978,0.0
2005-07-22,2528.0,2603.0,2528.0,2565.0,148218,61494,0.0
2005-07-25,2550.0,2573.0,2538.0,2543.0,143374,68370,0.0
2005-07-26,2556.0,2565.0,2547.0,2555.0,105334,69924,0.0
2005-07-27,2550.0,2565.0,2547.0,2563.0,90308,71224,0.0
2005-07-28,2570.0,2575.0,2560.0,2562.0,53126,69664,0.0
2005-07-29,2571.0,2574.0,2542.0,2551.0,75158,68966,0.0
2005-08-01,2545.0,2565.0,2514.0,2514.0,89270,73512,0.0
