date,open,high,low,close,volume,position,s
2020-01-02,14130.0,14265.0,14040.0,14225.0,5690,0,0.0
2020-01-03,14250.0,14280.0,13740.0,13770.0,8022,0,0.0
2020-01-06,13750.0,13860.0,13625.0,13805.0,6594,0,0.0
2020-01-07,13805.0,13995.0,13680.0,13905.0,6067,0,0.0
2020-01-08,13855.0,14135.0,13755.0,14050.0,8381,0,0.0
2020-01-09,14070.0,14250.0,14060.0,14110.0,5416,0,0.0
2020-01-10,14120.0,14250.0,14055.0,14220.0,5748,0,0.0
2020-01-13,14225.0,14350.0,14055.0,14100.0,8371,0,0.0
2020-01-14,14110.0,14155.0,13645.0,13890.0,9449,0,0.0
2020-01-15,13870.0,14385.0,13715.0,14340.0,11202,0,0.0
2020-01-16,14350.0,14435.0,13760.0,13795.0,8803,0,0.0
2020-01-17,13815.0,13985.0,13805.0,13935.0,5760,0,0.0
2020-01-20,13955.0,14175.0,13835.0,14015.0,5269,0,0.0
2020-01-21,14010.0,14065.0,13640.0,13670.0,6750,0,0.0
2020-01-22,13670.0,13890.0,13505.0,13650.0,6971,0,0.0
2020-01-23,13660.0,13675.0,13310.0,13370.0,5394,0,0.0
2020-01-24,13345.0,13395.0,12935.0,12965.0,5143,0,0.0
2020-01-27,12920.0,13040.0,12560.0,12690.0,7661,0,0.0
2020-01-28,12610.0,12970.0,12560.0,12580.0,7055,0,0.0
2020-01-29,12575.0,12765.0,12510.0,12645.0,5421,0,0.0
2020-01-30,12665.0,12750.0,12525.0,12585.0,4638,0,0.0
2020-01-31,12650.0,12925.0,12550.0,12765.0,6315,0,0.0
2020-02-03,12785.0,12940.0,12695.0,12720.0,7833,0,0.0
2020-02-04,12735.0,13365.0,12735.0,12950.0,10516,0,0.0
2020-02-05,12925.0,13270.0,12925.0,13205.0,7453,0,0.0
2020-02-06,13220.0,13310.0,13075.0,13100.0,5551,0,0.0
2020-02-07,13105.0,13210.0,12755.0,12830.0,6591,0,0.0
2020-02-10,12800.0,13080.0,12800.0,12920.0,6004,0,0.0
2020-02-11,12950.0,13275.0,12950.0,13115.0,7099,0,0.0
2020-02-12,13140.0,13230.0,12935.0,13150.0,6348,0,0.0
2020-02-13,13135.0,13295.0,13050.0,13255.0,7027,0,0.0
2020-02-14,13270.0,13345.0,13010.0,13040.0,5298,0,0.0
2020-02-17,13065.0,13210.0,13055.0,13150.0,3254,0,0.0
2020-02-18,13150.0,13185.0,12770.0,12850.0,7273,0,0.0
2020-02-19,12875.0,12985.0,12690.0,12850.0,7449,0,0.0
2020-02-20,12855.0,12965.0,12650.0,12735.0,5260,0,0.0
2020-02-21,12755.0,12785.0,12500.0,12565.0,6021,0,0.0
2020-02-24,12500.0,12670.0,12370.0,12460.0,7642,0,0.0
2020-02-25,12500.0,12765.0,12445.0,12520.0,7542,0,0.0
2020-02-26,12520.0,12590.0,12355.0,12475.0,6630,0,0.0
2020-02-27,12460.0,12555.0,12285.0,12375.0,6143,0,0.0
2020-02-28,12405.0,12420.0,12140.0,12215.0,8979,0,0.0
2020-03-02,12220.0,12745.0,12220.0,12675.0,9115,0,0.0
2020-03-03,12735.0,12925.0,12500.0,12685.0,8889,0,0.0
2020-03-04,12690.0,12820.0,12610.0,12680.0,5054,0,0.0
2020-03-05,12715.0,12915.0,12675.0,12895.0,6035,0,0.0
2020-03-06,12850.0,12885.0,12660.0,12835.0,5633,0,0.0
2020-03-09,12760.0,12760.0,12300.0,12595.0,8490,0,0.0
2020-03-10,12640.0,12995.0,12570.0,12730.0,11027,0,0.0
2020-03-11,12775.0,12905.0,12350.0,12445.0,10113,0,0.0
2020-03-12,12420.0,12495.0,11735.0,11870.0,13954,0,0.0
2020-03-13,11915.0,12815.0,11735.0,12300.0,19205,0,0.0
2020-03-16,12225.0,12465.0,11670.0,11995.0,11324,0,0.0
2020-03-17,12040.0,12295.0,11800.0,11910.0,13297,0,0.0
2020-03-18,11910.0,12165.0,11305.0,11380.0,18205,0,0.0
2020-03-19,11455.0,11650.0,11085.0,11295.0,21348,0,0.0
2020-03-20,11300.0,11700.0,11265.0,11330.0,13105,0,0.0
2020-03-23,11190.0,11290.0,10865.0,10910.0,11247,0,0.0
2020-03-24,11030.0,11300.0,10995.0,11280.0,9057,0,0.0
2020-03-25,11330.0,11350.0,11100.0,11310.0,6627,0,0.0
2020-03-26,11300.0,11325.0,11110.0,11210.0,7565,0,0.0
2020-03-27,11255.0,11430.0,11215.0,11410.0,5867,0,0.0
2020-03-30,11390.0,11455.0,11260.0,11315.0,5704,0,0.0
2020-03-31,11330.0,11500.0,11230.0,11465.0,5639,0,0.0
2020-04-01,11435.0,11435.0,11235.0,11240.0,5055,0,0.0
2020-04-02,11260.0,11365.0,10950.0,11290.0,5670,0,0.0
2020-04-03,11340.0,11355.0,11200.0,11200.0,3650,0,0.0
2020-04-06,11225.0,11310.0,11200.0,11280.0,2214,0,0.0
2020-04-07,11320.0,11520.0,11295.0,11430.0,5928,0,0.0
2020-04-08,11415.0,11590.0,11330.0,11505.0,6454,0,0.0
2020-04-09,11520.0,11705.0,11475.0,11680.0,5568,0,0.0
2020-04-14,11720.0,11865.0,11715.0,11815.0,3727,0,0.0
2020-04-15,11865.0,12000.0,11740.0,11765.0,5738,0,0.0
2020-04-16,11775.0,11795.0,11620.0,11755.0,3044,0,0.0
2020-04-17,11810.0,12070.0,11785.0,12055.0,5118,0,0.0
2020-04-20,12055.0,12535.0,11920.0,12470.0,7436,0,0.0
2020-04-21,12470.0,12500.0,12130.0,12160.0,7365,0,0.0
2020-04-22,12200.0,12225.0,11775.0,11940.0,6291,0,0.0
2020-04-23,11910.0,12240.0,11880.0,12170.0,4464,0,0.0
2020-04-24,12170.0,12315.0,12045.0,12250.0,3144,0,0.0
2020-04-27,12260.0,12595.0,12155.0,12225.0,5404,0,0.0
2020-04-28,12250.0,12440.0,12080.0,12325.0,5507,0,0.0
2020-04-29,12320.0,12370.0,12185.0,12295.0,4421,0,0.0
2020-04-30,12320.0,12355.0,12130.0,12130.0,4498,0,0.0
2020-05-01,12120.0,12200.0,11835.0,11915.0,4325,0,0.0
2020-05-04,11885.0,11970.0,11800.0,11800.0,2519,0,0.0
2020-05-05,11815.0,12050.0,11800.0,12020.0,3711,0,0.0
2020-05-06,12040.0,12335.0,11875.0,12295.0,7587,0,0.0
2020-05-07,12320.0,12400.0,12170.0,12270.0,4979,0,0.0
2020-05-11,12400.0,12500.0,12215.0,12380.0,3897,0,0.0
2020-05-12,12390.0,12475.0,12230.0,12275.0,3842,0,0.0
2020-05-13,12280.0,12350.0,12135.0,12240.0,3792,0,0.0
2020-05-14,12240.0,12315.0,11965.0,12055.0,5429,0,0.0
2020-05-15,12080.0,12110.0,11820.0,11820.0,6069,0,0.0
2020-05-18,11860.0,12270.0,11840.0,12255.0,5790,0,0.0
2020-05-19,12285.0,12480.0,12230.0,12465.0,6446,0,0.0
2020-05-20,12465.0,12710.0,12385.0,12690.0,6478,0,0.0
2020-05-21,12700.0,12910.0,12410.0,12420.0,8323,0,0.0
2020-05-22,12420.0,12655.0,12105.0,12250.0,11222,0,0.0
2020-05-26,12215.0,12415.0,12195.0,12335.0,4710,0,0.0
2020-05-27,12310.0,12335.0,12090.0,12135.0,5089,0,0.0
2020-05-28,12155.0,12305.0,12135.0,12240.0,3888,0,0.0
2020-05-29,12185.0,12395.0,12130.0,12365.0,5222,0,0.0
2020-06-01,12400.0,12680.0,12400.0,12575.0,8793,0,0.0
2020-06-02,12585.0,12885.0,12545.0,12865.0,9108,0,0.0
2020-06-03,12865.0,12925.0,12665.0,12785.0,7036,0,0.0
2020-06-04,12790.0,12845.0,12530.0,12780.0,6192,0,0.0
2020-06-05,12800.0,13015.0,12745.0,12915.0,6837,0,0.0
2020-06-08,12945.0,13115.0,12870.0,13060.0,5789,0,0.0
2020-06-09,13060.0,13100.0,12720.0,12900.0,6118,0,0.0
2020-06-10,12880.0,13065.0,12810.0,12990.0,5599,0,0.0
2020-06-11,13020.0,13045.0,12600.0,12650.0,7207,0,0.0
2020-06-12,12670.0,12825.0,12535.0,12690.0,5842,0,0.0
2020-06-15,12670.0,12870.0,12470.0,12825.0,6430,0,0.0
2020-06-16,12885.0,13035.0,12835.0,13020.0,7132,0,0.0
2020-06-17,13020.0,13045.0,12815.0,12805.0,5181,0,0.0
2020-06-18,12840.0,12950.0,12760.0,12895.0,4148,0,0.0
2020-06-19,12880.0,13020.0,12720.0,12725.0,4746,0,0.0
