date,open,high,low,close,volume,hold
2020-01-02,111490.0,112050.0,109820.0,111310.0,451446,141670
2020-01-03,111650.0,111900.0,107680.0,107800.0,832788,157883
2020-01-06,108060.0,108650.0,106810.0,108190.0,692853,150206
2020-01-07,108070.0,109480.0,107010.0,109390.0,744591,153721
2020-01-08,109060.0,109750.0,107810.0,109230.0,761302,156780
2020-01-09,109000.0,111890.0,108850.0,111540.0,827330,166877
2020-01-10,111780.0,112290.0,111090.0,111930.0,688236,169396
2020-01-13,111930.0,113390.0,111410.0,113210.0,686504,181716
2020-01-14,113100.0,113260.0,108870.0,108900.0,834688,169022
2020-01-15,108620.0,109930.0,108510.0,109140.0,371137,159262
2020-01-16,110000.0,112180.0,109750.0,111210.0,396389,148561
2020-01-17,111880.0,111890.0,107730.0,108440.0,402676,141080
2020-01-20,108500.0,108800.0,107710.0,108100.0,300674,138815
2020-01-21,108310.0,110300.0,107000.0,107480.0,382228,124003
2020-01-22,107630.0,109080.0,106160.0,108340.0,475829,87896
2020-01-23,108300.0,108330.0,105510.0,105690.0,424477,94440
2020-02-03,101000.0,102450.0,100670.0,102190.0,243482,94276
2020-02-04,102020.0,104780.0,101710.0,104420.0,383776,107944
2020-02-05,103810.0,106000.0,103810.0,105130.0,440237,110915
2020-02-06,105400.0,106200.0,104760.0,105070.0,490301,115835
2020-02-07,104760.0,105730.0,104180.0,105260.0,394455,118115
2020-02-10,103500.0,105220.0,103470.0,104450.0,353753,120805
2020-02-11,104310.0,106680.0,104300.0,106190.0,442115,131186
2020-02-12,105950.0,106460.0,103660.0,105130.0,513389,127368
2020-02-13,105400.0,106300.0,104790.0,105630.0,492607,128792
2020-02-14,106120.0,107050.0,104570.0,104650.0,328798,130210
2020-02-17,104770.0,105620.0,104300.0,105210.0,198346,128719
2020-02-18,105200.0,105590.0,103420.0,105090.0,276967,124178
2020-02-19,104430.0,104920.0,103650.0,103810.0,195076,126926
2020-02-20,104000.0,104550.0,103330.0,104080.0,222224,123984
2020-02-21,103680.0,103930.0,102330.0,102350.0,211444,130630
2020-02-24,102000.0,102970.0,101020.0,102720.0,218028,114549
2020-02-25,102040.0,102930.0,101330.0,102670.0,190771,104724
2020-02-26,102370.0,102850.0,101020.0,101020.0,276860,51122
2020-02-27,101000.0,101910.0,100910.0,101110.0,249947,53166
2020-02-28,100950.0,100960.0,98940.0,99010.0,332017,60890
2020-03-02,99220.0,102630.0,99150.0,102480.0,332213,61143
2020-03-03,103310.0,104440.0,102540.0,102870.0,300024,68414
2020-03-04,102920.0,103260.0,102350.0,102810.0,284101,75566
2020-03-05,102700.0,104160.0,102250.0,103400.0,388040,90414
2020-03-06,103700.0,103800.0,102920.0,103020.0,366713,85603
2020-03-09,102170.0,102220.0,99320.0,99610.0,447873,78954
2020-03-10,100680.0,104600.0,100620.0,104210.0,498604,87990
2020-03-11,103340.0,104420.0,102160.0,102350.0,419406,84670
2020-03-12,101000.0,101300.0,99860.0,100560.0,434247,91840
2020-03-13,97200.0,100350.0,96200.0,99300.0,558108,90913
2020-03-16,100000.0,101510.0,98820.0,99400.0,409185,83807
2020-03-17,99450.0,100250.0,99040.0,99550.0,381909,83079
2020-03-18,98290.0,99800.0,94950.0,95050.0,635183,98848
2020-03-19,95050.0,95790.0,90600.0,95250.0,697051,93287
2020-03-20,95010.0,96660.0,94420.0,95850.0,476788,87690
2020-03-23,93000.0,94360.0,91230.0,91920.0,482710,93798
2020-03-24,92590.0,93800.0,91030.0,91690.0,549758,94597
2020-03-25,93500.0,93920.0,91190.0,91890.0,480472,104986
2020-03-26,92500.0,93340.0,91550.0,91580.0,505998,95438
2020-03-27,92200.0,93460.0,91840.0,93440.0,529045,87401
2020-03-30,92980.0,94100.0,91520.0,93210.0,518543,83132
2020-03-31,93650.0,93980.0,91800.0,91830.0,401139,92556
2020-04-01,92600.0,93290.0,92220.0,92680.0,441868,83435
2020-04-02,92350.0,93250.0,89550.0,92900.0,659703,84229
2020-04-03,92900.0,93260.0,91950.0,92640.0,382922,79216
2020-04-07,93800.0,94420.0,92850.0,93330.0,386549,82014
2020-04-08,92960.0,95410.0,92440.0,95310.0,487833,107888
2020-04-09,95600.0,95860.0,94650.0,94970.0,371612,99192
2020-04-10,95400.0,97840.0,95220.0,97310.0,482986,107151
2020-04-13,97100.0,97570.0,96020.0,96430.0,346151,100998
2020-04-14,96600.0,97420.0,96060.0,97160.0,389144,104470
2020-04-15,97180.0,98700.0,96630.0,97240.0,337287,109235
2020-04-16,97100.0,97180.0,95700.0,95760.0,190089,104866
2020-04-17,96550.0,99140.0,96500.0,98970.0,234072,111097
2020-04-20,98970.0,102300.0,97990.0,102030.0,333322,123165
2020-04-21,102030.0,102500.0,100020.0,100920.0,289336,99334
2020-04-22,100580.0,100580.0,96560.0,98050.0,247032,89370
2020-04-23,98250.0,99850.0,98250.0,99650.0,311079,56150
2020-04-24,99400.0,101390.0,98860.0,99860.0,297982,56502
2020-04-27,102000.0,103750.0,100600.0,101580.0,339856,58982
2020-04-28,101000.0,101560.0,99520.0,100590.0,262396,62015
2020-04-29,101280.0,101720.0,99980.0,100150.0,255817,60384
2020-04-30,101000.0,101310.0,99900.0,99950.0,226263,58834
2020-05-06,98960.0,101660.0,97800.0,101350.0,356750,79814
2020-05-07,101100.0,102780.0,100720.0,101890.0,658157,91537
2020-05-08,102280.0,102750.0,100390.0,101720.0,701460,87520
2020-05-11,101570.0,103450.0,101300.0,101610.0,760702,90459
2020-05-12,101410.0,103050.0,100680.0,101040.0,726784,89308
2020-05-13,101450.0,101680.0,99720.0,101140.0,720032,88529
2020-05-14,101420.0,101570.0,100210.0,101170.0,560075,86828
2020-05-15,100770.0,100800.0,99060.0,99400.0,673044,100415
2020-05-18,98810.0,100360.0,98150.0,99860.0,665198,99467
2020-05-19,100000.0,102210.0,100000.0,102080.0,448080,103977
2020-05-20,102600.0,103120.0,102010.0,102580.0,305395,100050
2020-05-21,102520.0,105810.0,102290.0,105110.0,435297,116870
2020-05-22,105800.0,106160.0,96070.0,99760.0,635601,79672
2020-05-25,100000.0,101490.0,100000.0,100650.0,259251,69967
2020-05-26,101030.0,101900.0,100710.0,101020.0,276345,72343
2020-05-27,101480.0,101550.0,99700.0,100000.0,545383,82239
2020-05-28,99800.0,101100.0,99390.0,100730.0,529610,86660
2020-05-29,100660.0,101300.0,99850.0,100080.0,542120,90639
2020-06-01,100120.0,104020.0,99960.0,103250.0,615993,111438
2020-06-02,102850.0,103280.0,102090.0,103210.0,449544,112963
2020-06-03,103690.0,104540.0,102920.0,103470.0,612178,114991
2020-06-04,103850.0,103920.0,101770.0,102190.0,640539,113901
2020-06-05,102470.0,104070.0,102310.0,103790.0,590141,118718
2020-06-08,104000.0,104500.0,103230.0,103770.0,611001,118933
2020-06-09,104200.0,105490.0,104160.0,104700.0,644262,124235
2020-06-10,104300.0,104390.0,102550.0,103180.0,641156,119044
2020-06-11,103860.0,104410.0,101400.0,101830.0,741801,124343
2020-06-12,101380.0,102180.0,100700.0,101740.0,303084,116244
2020-06-15,101930.0,102350.0,100220.0,100290.0,326602,120827
2020-06-16,100590.0,103640.0,100500.0,103630.0,317714,113868
2020-06-17,103800.0,103880.0,102510.0,103480.0,256724,114339
2020-06-18,103400.0,104130.0,102600.0,103250.0,257058,110142
2020-06-19,102840.0,104560.0,102560.0,104200.0,291508,114557
2020-06-22,104190.0,104250.0,101660.0,101860.0,304679,114890
2020-06-23,102000.0,102740.0,101240.0,101550.0,240220,110885
2020-06-24,101710.0,102110.0,101330.0,101640.0,161646,99485
2020-06-29,102000.0,103400.0,100930.0,102910.0,201870,46072
2020-06-30,102900.0,103440.0,102360.0,103180.0,241239,51105
2020-07-01,103360.0,103470.0,101720.0,102240.0,292526,61907
2020-07-02,101550.0,103250.0,101500.0,103190.0,345814,64154
2020-07-03,103250.0,105970.0,102930.0,105840.0,529804,94053
2020-07-06,106030.0,107500.0,104560.0,107110.0,712363,127788
2020-07-07,107430.0,108100.0,106520.0,107070.0,652267,131401
2020-07-08,107290.0,108430.0,106710.0,107530.0,670778,137617
2020-07-09,107500.0,107830.0,106000.0,107630.0,720179,145081
2020-07-10,107900.0,108800.0,105060.0,105450.0,912928,134331
2020-07-13,105800.0,109250.0,105650.0,108510.0,945364,146138
2020-07-14,108300.0,110190.0,107650.0,109050.0,839095,149953
2020-07-15,109000.0,109470.0,107700.0,108570.0,691219,145344
2020-07-16,108680.0,108830.0,105200.0,106170.0,938051,142424
2020-07-17,106530.0,107350.0,106130.0,106320.0,682312,133487
2020-07-20,106390.0,106610.0,104320.0,105610.0,756025,130313
2020-07-21,105690.0,106720.0,105300.0,105970.0,634502,131630
2020-07-22,106250.0,108450.0,106250.0,106640.0,797671,124724
2020-07-23,105900.0,106120.0,104640.0,106040.0,689170,133767
2020-07-24,106990.0,109190.0,106250.0,107620.0,1066009,118735
2020-07-27,107620.0,110810.0,107520.0,110140.0,1045277,147737
2020-07-28,110000.0,112150.0,108400.0,108740.0,851351,138200
2020-07-29,108400.0,110520.0,108300.0,109500.0,652825,135088
2020-07-30,109550.0,111960.0,109380.0,111340.0,933359,155487
2020-07-31,110500.0,111320.0,108930.0,110440.0,980776,140972
2020-08-03,110450.0,110700.0,108220.0,109040.0,863839,152342
2020-08-04,109560.0,111580.0,109560.0,110860.0,796599,149607
2020-08-05,110820.0,113050.0,110370.0,112990.0,1005710,183336
2020-08-06,113000.0,117220.0,112630.0,114540.0,1677592,182174
2020-08-07,114830.0,116500.0,113630.0,115080.0,1073065,174890
2020-08-10,115150.0,115680.0,112060.0,113180.0,1017273,159713
2020-08-11,113700.0,114550.0,111880.0,112130.0,807216,155912
2020-08-12,112470.0,113550.0,110520.0,112300.0,969864,136013
2020-08-13,112300.0,113200.0,111820.0,112560.0,762589,135250
2020-08-14,112400.0,114800.0,111750.0,114100.0,526188,133275
2020-08-17,114380.0,116090.0,113860.0,115950.0,395347,135784
2020-08-18,116100.0,116870.0,115360.0,116150.0,292957,127670
2020-08-19,116700.0,117540.0,115590.0,116340.0,472940,72157
2020-08-20,117100.0,117470.0,114580.0,116130.0,548418,76144
2020-08-21,116700.0,117070.0,114840.0,115460.0,481581,80105
2020-08-24,115100.0,117490.0,114850.0,117310.0,548317,91199
2020-08-25,117540.0,118210.0,116530.0,117420.0,557851,97809
2020-08-26,117580.0,119940.0,116950.0,119680.0,721599,150151
2020-08-27,119540.0,120750.0,119000.0,119430.0,705081,145962
2020-08-28,119480.0,120400.0,118550.0,120350.0,743986,153258
2020-08-31,121010.0,121550.0,120010.0,121240.0,695976,157330
2020-09-01,121300.0,123370.0,120290.0,123080.0,697304,181495
2020-09-02,122900.0,123050.0,121020.0,122180.0,689625,164599
2020-09-03,122200.0,123930.0,119650.0,120010.0,989913,166434
2020-09-04,119100.0,120250.0,117820.0,119250.0,866758,148092
2020-09-07,119530.0,120500.0,118680.0,119080.0,741569,146827
2020-09-08,119260.0,120050.0,118600.0,119610.0,636315,140302
2020-09-09,118350.0,118490.0,115630.0,115850.0,817972,128863
2020-09-10,116490.0,117120.0,115420.0,115770.0,614121,132692
2020-09-11,116220.0,116980.0,114730.0,116150.0,712269,126581
2020-09-14,116610.0,119000.0,116220.0,118820.0,487943,135093
2020-09-15,118800.0,119470.0,118440.0,118790.0,324880,125671
2020-09-16,118900.0,118920.0,116840.0,117540.0,384739,119471
2020-09-17,117600.0,118150.0,115260.0,115560.0,352680,123277
2020-09-18,115520.0,117530.0,115360.0,116760.0,372194,67499
2020-09-21,116150.0,116520.0,113950.0,114210.0,477949,76398
2020-09-22,114220.0,114580.0,110620.0,113400.0,557581,80565
2020-09-23,113700.0,114080.0,111150.0,112940.0,535319,85693
2020-09-24,112320.0,113390.0,111080.0,112140.0,533391,88203
2020-09-25,111500.0,113730.0,111350.0,113610.0,600075,94290
2020-09-28,113200.0,113810.0,111730.0,113470.0,626984,100697
2020-09-29,113840.0,114100.0,112760.0,113850.0,541529,98031
2020-09-30,113720.0,114670.0,111670.0,111700.0,636609,97740
2020-10-09,113490.0,116180.0,113410.0,115940.0,265381,97609
2020-10-12,116200.0,117670.0,115630.0,117080.0,530825,110509
2020-10-13,117400.0,117610.0,116260.0,117100.0,500868,108946
2020-10-14,117060.0,117370.0,116100.0,117030.0,625304,110514
2020-10-15,117650.0,119100.0,117240.0,117860.0,621042,117305
2020-10-16,117900.0,119680.0,117370.0,119450.0,636624,128166
