date,open,high,low,close,volume,hold,settle
2005-01-04,12040.0,12090.0,11945.0,12025.0,3856,9330,0.0
2005-01-05,12000.0,12055.0,11965.0,12045.0,2698,9690,0.0
2005-01-06,12050.0,12100.0,12025.0,12085.0,2188,9498,0.0
2005-01-07,12105.0,12105.0,11980.0,12000.0,3198,9938,0.0
2005-01-10,11980.0,12035.0,11950.0,12010.0,3358,10640,0.0
2005-01-11,12010.0,12025.0,11925.0,11970.0,3722,11172,0.0
2005-01-12,11970.0,12220.0,11890.0,12220.0,22374,14380,0.0
2005-01-13,12205.0,12260.0,12130.0,12170.0,22126,14340,0.0
2005-01-14,12155.0,12250.0,12120.0,12165.0,12514,14372,0.0
2005-01-17,12150.0,12210.0,12000.0,12000.0,8282,13584,0.0
2005-01-18,12000.0,12045.0,11920.0,11995.0,7426,12888,0.0
2005-01-19,12010.0,12060.0,11975.0,12000.0,4998,11820,0.0
2005-01-20,12010.0,12075.0,12000.0,12020.0,3154,11236,0.0
2005-01-21,12010.0,12130.0,12010.0,12115.0,2218,10230,0.0
2005-01-24,12205.0,12350.0,12170.0,12185.0,4922,4370,0.0
2005-01-25,12070.0,12080.0,11995.0,12030.0,2470,7412,0.0
2005-01-26,12220.0,12230.0,12090.0,12105.0,2120,4288,0.0
2005-01-27,12005.0,12050.0,12005.0,12040.0,2720,6476,0.0
2005-01-28,12180.0,12285.0,12165.0,12265.0,2666,4228,0.0
2005-01-31,12275.0,12320.0,12225.0,12275.0,2360,4346,0.0
2005-02-01,12260.0,12310.0,12255.0,12285.0,1904,4474,0.0
2005-02-02,12265.0,12455.0,12265.0,12440.0,6600,5016,0.0
2005-02-03,12460.0,12590.0,12450.0,12550.0,7050,5172,0.0
2005-02-04,12485.0,12655.0,12485.0,12605.0,4870,4794,0.0
2005-02-16,12670.0,12905.0,12670.0,12870.0,4996,4716,0.0
2005-02-17,12870.0,12880.0,12740.0,12750.0,7928,6666,0.0
2005-02-18,12750.0,12865.0,12695.0,12695.0,7966,7692,0.0
2005-02-21,12700.0,12745.0,12645.0,12700.0,6538,7932,0.0
2005-02-22,12720.0,12930.0,12720.0,12930.0,15486,11292,0.0
2005-02-23,13010.0,13180.0,12865.0,12890.0,18028,11152,0.0
2005-02-24,12950.0,13150.0,12890.0,13095.0,17334,12482,0.0
2005-02-25,13045.0,13220.0,13015.0,13160.0,19656,13796,0.0
2005-02-28,13240.0,13330.0,13155.0,13210.0,19850,14172,0.0
2005-03-01,13180.0,13230.0,13070.0,13095.0,13416,14478,0.0
2005-03-02,13090.0,13250.0,13080.0,13220.0,15434,14522,0.0
2005-03-03,13300.0,13310.0,13090.0,13100.0,15426,14712,0.0
2005-03-04,13160.0,13180.0,12905.0,13060.0,21208,14398,0.0
2005-03-07,13090.0,13125.0,12960.0,13000.0,16230,14964,0.0
2005-03-08,13015.0,13060.0,12970.0,13020.0,9528,15320,0.0
2005-03-09,13060.0,13250.0,13040.0,13160.0,21028,15652,0.0
2005-03-10,13160.0,13235.0,13130.0,13150.0,11642,15802,0.0
2005-03-11,13150.0,13175.0,12980.0,13005.0,11912,14960,0.0
2005-03-14,13070.0,13180.0,13025.0,13150.0,11756,14008,0.0
2005-03-15,13390.0,13695.0,13355.0,13695.0,22264,13796,0.0
2005-03-16,13795.0,14290.0,13750.0,14160.0,38298,19492,0.0
2005-03-17,14250.0,14470.0,14100.0,14165.0,37714,21146,0.0
2005-03-18,14065.0,14200.0,13860.0,13860.0,22032,23118,0.0
2005-03-21,13505.0,13620.0,13230.0,13230.0,45436,19920,0.0
2005-03-22,13060.0,13300.0,12910.0,13100.0,46156,19812,0.0
2005-03-23,13100.0,13205.0,12950.0,12960.0,21428,19448,0.0
2005-03-24,12940.0,13100.0,12845.0,13090.0,31968,19610,0.0
2005-03-25,13105.0,13170.0,13055.0,13080.0,23830,19032,0.0
2005-03-28,13115.0,13280.0,12960.0,12995.0,26966,18092,0.0
2005-03-29,13060.0,13380.0,12885.0,13365.0,56888,21472,0.0
2005-03-30,13425.0,13535.0,13290.0,13535.0,84372,24916,0.0
2005-03-31,13605.0,13635.0,13300.0,13330.0,74470,24906,0.0
2005-04-01,13350.0,13550.0,13240.0,13365.0,72008,25618,0.0
2005-04-04,13400.0,13520.0,13360.0,13415.0,51298,24634,0.0
2005-04-05,13475.0,13505.0,13385.0,13415.0,23842,19970,0.0
2005-04-06,13595.0,13690.0,13520.0,13560.0,24412,12924,0.0
2005-04-07,13610.0,13710.0,13590.0,13645.0,24000,15662,0.0
2005-04-08,13605.0,13615.0,13235.0,13235.0,30720,14170,0.0
2005-04-11,13070.0,13250.0,13035.0,13140.0,24658,13414,0.0
2005-04-12,13200.0,13225.0,12920.0,13060.0,26630,14466,0.0
2005-04-13,12900.0,12975.0,12685.0,12745.0,44044,15656,0.0
2005-04-14,12700.0,12855.0,12650.0,12780.0,33110,15898,0.0
2005-04-15,12780.0,12835.0,12710.0,12745.0,22816,16670,0.0
2005-04-18,12680.0,12895.0,12680.0,12825.0,32106,17912,0.0
2005-04-19,12850.0,13070.0,12810.0,12985.0,48124,18970,0.0
2005-04-20,13095.0,13160.0,13025.0,13025.0,36630,20084,0.0
2005-04-21,12995.0,12995.0,12700.0,12700.0,29122,17226,0.0
2005-04-22,12780.0,12805.0,12680.0,12725.0,30036,16948,0.0
2005-04-25,12775.0,12795.0,12705.0,12730.0,12810,16572,0.0
2005-04-26,12680.0,12680.0,12520.0,12540.0,24002,17056,0.0
2005-04-27,12555.0,12655.0,12545.0,12605.0,17046,16364,0.0
2005-04-28,12540.0,12750.0,12540.0,12680.0,30440,14172,0.0
2005-04-29,12680.0,12710.0,12585.0,12625.0,11946,12484,0.0
2005-05-09,12690.0,12895.0,12670.0,12845.0,21872,13338,0.0
2005-05-10,12900.0,12920.0,12730.0,12775.0,24276,12800,0.0
2005-05-11,12795.0,12810.0,12670.0,12705.0,17480,12520,0.0
2005-05-12,12655.0,12790.0,12655.0,12745.0,14486,12902,0.0
2005-05-13,12705.0,12830.0,12585.0,12815.0,27114,13098,0.0
2005-05-16,12860.0,12990.0,12830.0,12920.0,26986,14170,0.0
2005-05-17,12900.0,12965.0,12830.0,12955.0,22882,13788,0.0
2005-05-18,12980.0,13120.0,12950.0,13110.0,33370,12586,0.0
2005-05-19,13060.0,13120.0,12990.0,13000.0,18788,11214,0.0
2005-05-20,13135.0,13245.0,13100.0,13140.0,15872,7692,0.0
2005-05-23,13205.0,13365.0,13205.0,13335.0,16590,9782,0.0
2005-05-24,13450.0,13450.0,13235.0,13280.0,24302,10548,0.0
2005-05-25,13110.0,13200.0,13080.0,13175.0,16030,9402,0.0
2005-05-26,13245.0,13510.0,13210.0,13480.0,20072,10640,0.0
2005-05-27,13510.0,13575.0,13425.0,13555.0,35198,12370,0.0
2005-05-30,13575.0,13665.0,13445.0,13555.0,26472,13236,0.0
2005-05-31,13600.0,13660.0,13510.0,13540.0,31872,13030,0.0
2005-06-01,13520.0,13625.0,13440.0,13625.0,19586,12464,0.0
2005-06-02,13715.0,13780.0,13660.0,13700.0,21868,11746,0.0
2005-06-03,13710.0,13780.0,13655.0,13780.0,18138,12000,0.0
2005-06-06,13950.0,14130.0,13870.0,14130.0,16878,12408,0.0
2005-06-07,14005.0,14225.0,13955.0,14150.0,25886,12528,0.0
2005-06-08,14150.0,14210.0,14005.0,14070.0,29170,14744,0.0
2005-06-09,13950.0,14080.0,13880.0,13880.0,22416,13956,0.0
2005-06-10,13930.0,14160.0,13930.0,14160.0,23788,14706,0.0
2005-06-13,14160.0,14180.0,13980.0,14010.0,18384,13164,0.0
2005-06-14,14150.0,14175.0,13715.0,13960.0,19984,9764,0.0
2005-06-15,14055.0,14085.0,13925.0,13970.0,13728,6362,0.0
2005-06-16,13990.0,14045.0,13760.0,13825.0,17858,7258,0.0
2005-06-17,13840.0,13960.0,13820.0,13950.0,15632,7770,0.0
2005-06-20,14080.0,14190.0,14000.0,14130.0,22454,10018,0.0
2005-06-21,14080.0,14130.0,14000.0,14080.0,20340,10360,0.0
2005-06-22,14095.0,14300.0,14080.0,14255.0,27852,13642,0.0
2005-06-23,14300.0,14385.0,14205.0,14265.0,35470,14116,0.0
2005-06-24,14310.0,14440.0,14270.0,14385.0,30668,13480,0.0
2005-06-27,14405.0,14480.0,14360.0,14405.0,23910,14510,0.0
2005-06-28,14360.0,14445.0,14270.0,14415.0,25486,14816,0.0
2005-06-29,14370.0,14520.0,14360.0,14495.0,25086,15204,0.0
2005-06-30,14540.0,14635.0,14450.0,14465.0,28212,14454,0.0
2005-07-01,14500.0,14770.0,14475.0,14740.0,48694,16826,0.0
2005-07-04,14860.0,15055.0,14860.0,15055.0,22830,15678,0.0
2005-07-05,15120.0,15150.0,14945.0,15065.0,43754,14600,0.0
2005-07-06,15125.0,15295.0,15110.0,15275.0,26212,14798,0.0
2005-07-07,15580.0,15660.0,15530.0,15660.0,19162,14434,0.0
2005-07-08,15570.0,15970.0,15515.0,15930.0,45510,14810,0.0
2005-07-11,15900.0,16030.0,15815.0,15850.0,34580,14294,0.0
2005-07-12,15950.0,16200.0,15855.0,16160.0,40020,14422,0.0
2005-07-13,16280.0,16295.0,15555.0,15735.0,66714,12174,0.0
2005-07-14,15800.0,16040.0,15680.0,15955.0,47484,10856,0.0
2005-07-15,16225.0,16245.0,16045.0,16150.0,72816,12146,0.0
2005-07-18,16140.0,16270.0,16090.0,16265.0,49352,14832,0.0
2005-07-19,16300.0,16420.0,16195.0,16355.0,63588,15440,0.0
2005-07-20,16325.0,16405.0,15960.0,16240.0,85436,14616,0.0
2005-07-21,16200.0,16320.0,16105.0,16305.0,68420,15592,0.0
2005-07-22,16110.0,16675.0,16015.0,16605.0,62176,16930,0.0
2005-07-25,16580.0,16920.0,16565.0,16920.0,60014,18530,0.0
2005-07-26,16940.0,17390.0,16890.0,17125.0,165240,23008,0.0
2005-07-27,17200.0,17205.0,16750.0,16855.0,112464,23006,0.0
2005-07-28,16725.0,17190.0,16680.0,17165.0,131446,25478,0.0
2005-07-29,17290.0,17345.0,16565.0,16775.0,184582,23676,0.0
2005-08-01,16960.0,16975.0,16600.0,16650.0,122788,22304,0.0
2005-08-02,16740.0,16790.0,16285.0,16285.0,120364,21254,0.0
2005-08-03,16400.0,16660.0,16160.0,16470.0,175828,21830,0.0
2005-08-04,16360.0,16420.0,16035.0,16130.0,159490,22820,0.0
2005-08-05,16060.0,16410.0,15955.0,16355.0,175738,26690,0.0
2005-08-08,16300.0,16440.0,16225.0,16290.0,142556,26410,0.0
2005-08-09,16245.0,16305.0,15990.0,16055.0,135770,22686,0.0
2005-08-10,15900.0,16040.0,15770.0,15855.0,137174,22506,0.0
2005-08-11,15915.0,16250.0,15915.0,16070.0,133594,20958,0.0
2005-08-12,16130.0,16130.0,15700.0,15780.0,81400,20082,0.0
2005-08-15,15990.0,15990.0,15640.0,15815.0,95148,15942,0.0
2005-08-16,15870.0,16020.0,15725.0,15960.0,137482,22412,0.0
2005-08-17,16050.0,16135.0,15705.0,15835.0,168542,22494,0.0
2005-08-18,15825.0,15930.0,15710.0,15880.0,153320,26298,0.0
2005-08-19,15810.0,15885.0,15700.0,15705.0,109952,24012,0.0
2005-08-22,15840.0,15880.0,15775.0,15865.0,111102,26520,0.0
2005-08-23,15955.0,16010.0,15855.0,15940.0,101790,25454,0.0
2005-08-24,15910.0,16090.0,15860.0,16070.0,123656,27574,0.0
2005-08-25,16070.0,16155.0,16025.0,16075.0,126220,27650,0.0
2005-08-26,16080.0,16100.0,15915.0,15930.0,91536,25916,0.0
2005-08-29,15980.0,16155.0,15960.0,16110.0,95210,26602,0.0
2005-08-30,16070.0,16180.0,16045.0,16090.0,81136,27534,0.0
2005-08-31,16285.0,16475.0,16240.0,16470.0,108916,28552,0.0
2005-09-01,16430.0,16590.0,16365.0,16510.0,130980,28192,0.0
2005-09-02,16550.0,16620.0,16515.0,16595.0,85642,29840,0.0
2005-09-05,16660.0,17035.0,16660.0,16985.0,123422,31824,0.0
2005-09-06,17020.0,17060.0,16885.0,17000.0,143732,32698,0.0
2005-09-07,16890.0,16955.0,16800.0,16925.0,106964,33370,0.0
2005-09-08,17055.0,17260.0,17055.0,17180.0,117236,36030,0.0
2005-09-09,17170.0,17190.0,17045.0,17125.0,115596,35732,0.0
2005-09-12,17000.0,17050.0,16710.0,16730.0,149918,33860,0.0
2005-09-13,16630.0,16690.0,16390.0,16410.0,164302,28772,0.0
2005-09-14,16570.0,16725.0,16460.0,16495.0,97236,23470,0.0
2005-09-15,16970.0,17020.0,16815.0,16940.0,88822,16470,0.0
2005-09-16,16800.0,16800.0,16650.0,16720.0,92112,16640,0.0
2005-09-19,16685.0,16700.0,16465.0,16515.0,81228,18248,0.0
2005-09-20,16820.0,16860.0,16745.0,16785.0,89468,19090,0.0
2005-09-21,16685.0,16990.0,16605.0,16935.0,147966,23690,0.0
2005-09-22,17065.0,17220.0,17035.0,17220.0,132324,28446,0.0
2005-09-23,17160.0,17215.0,17070.0,17100.0,123012,27008,0.0
2005-09-26,16985.0,17240.0,16955.0,17115.0,174590,30442,0.0
2005-09-27,17320.0,17410.0,17275.0,17295.0,133320,31658,0.0
2005-09-28,17270.0,17520.0,17240.0,17515.0,148748,37126,0.0
2005-09-29,17655.0,17850.0,17630.0,17780.0,161408,34782,0.0
2005-09-30,17750.0,17780.0,17540.0,17600.0,110428,31338,0.0
2005-10-10,17900.0,18190.0,17900.0,18190.0,80888,34802,0.0
2005-10-11,18315.0,18420.0,17980.0,18125.0,137378,33894,0.0
2005-10-12,18300.0,18380.0,18070.0,18180.0,135808,33058,0.0
2005-10-13,17990.0,18300.0,17950.0,18180.0,136398,30048,0.0
2005-10-14,18050.0,18175.0,17985.0,18005.0,75648,28052,0.0
2005-10-17,18405.0,18615.0,18360.0,18615.0,57874,19484,0.0
2005-10-18,18690.0,18735.0,18435.0,18465.0,88612,23992,0.0
2005-10-19,18400.0,18435.0,18045.0,18045.0,86622,24148,0.0
2005-10-20,17800.0,18175.0,17700.0,18085.0,195936,30032,0.0
2005-10-21,18160.0,18170.0,17450.0,17640.0,200384,27498,0.0
2005-10-24,17860.0,17905.0,17660.0,17685.0,136342,28066,0.0
2005-10-25,17600.0,17820.0,17545.0,17750.0,139474,27956,0.0
2005-10-26,17810.0,18040.0,17605.0,17680.0,174700,28930,0.0
2005-10-27,17620.0,17775.0,17390.0,17460.0,194592,31078,0.0
2005-10-28,17520.0,17715.0,17420.0,17700.0,170752,26542,0.0
2005-10-31,17595.0,17655.0,17510.0,17560.0,115642,26764,0.0
2005-11-01,17580.0,17790.0,17555.0,17730.0,114126,28820,0.0
2005-11-02,17680.0,17760.0,17595.0,17735.0,94994,28266,0.0
2005-11-03,17730.0,17835.0,17620.0,17680.0,125252,29552,0.0
2005-11-04,17800.0,17840.0,17530.0,17550.0,102304,29454,0.0
2005-11-07,17450.0,17450.0,17135.0,17135.0,81034,30254,0.0
2005-11-08,16935.0,17080.0,16895.0,17000.0,130666,29626,0.0
2005-11-09,17060.0,17090.0,16755.0,16920.0,150816,30592,0.0
2005-11-10,16900.0,17005.0,16840.0,16950.0,106190,29032,0.0
2005-11-11,16840.0,17070.0,16800.0,17060.0,124356,31434,0.0
2005-11-14,17105.0,17140.0,16940.0,17090.0,115336,31626,0.0
2005-11-15,17080.0,17080.0,16900.0,16970.0,107270,31956,0.0
2005-11-16,16950.0,17075.0,16880.0,16990.0,114036,31804,0.0
2005-11-17,17080.0,17120.0,16990.0,17030.0,98580,29294,0.0
2005-11-18,16960.0,17000.0,16680.0,16765.0,146306,33910,0.0
2005-11-21,16845.0,16975.0,16845.0,16970.0,81016,33042,0.0
2005-11-22,17080.0,17285.0,17045.0,17280.0,116444,32160,0.0
2005-11-23,17190.0,17265.0,17090.0,17195.0,121336,29160,0.0
2005-11-24,17170.0,17470.0,17140.0,17365.0,138492,34016,0.0
2005-11-25,17265.0,17410.0,17250.0,17390.0,108934,34508,0.0
2005-11-28,17470.0,17520.0,16950.0,17015.0,193914,34386,0.0
2005-11-29,17020.0,17070.0,16880.0,16925.0,133402,35566,0.0
2005-11-30,16800.0,17050.0,16710.0,16915.0,122770,34962,0.0
2005-12-01,16830.0,16985.0,16830.0,16880.0,84060,36018,0.0
2005-12-02,16995.0,17085.0,16955.0,17015.0,81448,32940,0.0
2005-12-05,17160.0,17385.0,17095.0,17310.0,125386,30320,0.0
2005-12-06,17280.0,17345.0,17155.0,17260.0,96434,31720,0.0
2005-12-07,17320.0,17570.0,17255.0,17560.0,129520,40002,0.0
