date,open,high,low,close,volume,hold
2020-01-02,17900.0,18000.0,17855.0,17880.0,66720,75962
2020-01-03,17945.0,17985.0,17730.0,17755.0,97431,74212
2020-01-06,17660.0,18190.0,17635.0,18155.0,133342,64238
2020-01-07,18120.0,18215.0,18040.0,18190.0,69309,60486
2020-01-08,18200.0,18475.0,18185.0,18365.0,202813,104759
2020-01-09,18470.0,18555.0,18295.0,18345.0,163030,103653
2020-01-10,18420.0,18435.0,18210.0,18340.0,135686,103381
2020-01-13,18365.0,18365.0,18185.0,18260.0,116604,103811
2020-01-14,18230.0,18345.0,18020.0,18185.0,145623,103833
2020-01-15,18135.0,18245.0,18095.0,18235.0,91546,102291
2020-01-16,18235.0,18350.0,18100.0,18295.0,128251,102193
2020-01-17,18405.0,18465.0,18270.0,18360.0,125913,99834
2020-01-20,18400.0,18480.0,18325.0,18420.0,100328,101580
2020-01-21,18425.0,18490.0,18135.0,18200.0,126442,91295
2020-01-22,18285.0,18375.0,18175.0,18315.0,105364,86617
2020-01-23,18305.0,18320.0,18085.0,18160.0,95825,71913
2020-02-03,17200.0,17475.0,17160.0,17300.0,86382,64459
2020-02-04,16915.0,17380.0,16915.0,17340.0,76784,60093
2020-02-05,17230.0,17350.0,17230.0,17280.0,35942,58784
2020-02-06,17360.0,17400.0,17315.0,17335.0,34973,57398
2020-02-07,17280.0,17365.0,17270.0,17295.0,26869,56191
2020-02-10,17150.0,17185.0,17105.0,17140.0,39976,53099
2020-02-11,17140.0,17170.0,17100.0,17125.0,49676,68586
2020-02-12,17130.0,17175.0,16975.0,17080.0,64839,74552
2020-02-13,17060.0,17180.0,17040.0,17120.0,60208,74552
2020-02-14,17155.0,17235.0,17140.0,17225.0,51441,73981
2020-02-17,17145.0,17265.0,17130.0,17260.0,54414,78030
2020-02-18,17265.0,17270.0,17150.0,17190.0,50498,78198
2020-02-19,17185.0,17195.0,17135.0,17170.0,39600,78284
2020-02-20,17165.0,17210.0,17100.0,17180.0,49874,79366
2020-02-21,17105.0,17145.0,17020.0,17030.0,66787,87507
2020-02-24,16980.0,16995.0,16570.0,16595.0,116257,92029
2020-02-25,16550.0,16650.0,16440.0,16560.0,97481,90321
2020-02-26,16445.0,16520.0,16370.0,16455.0,82395,89251
2020-02-27,16450.0,16540.0,16450.0,16460.0,54921,89191
2020-02-28,16370.0,16370.0,15675.0,15860.0,160326,85044
2020-03-02,15995.0,16225.0,15945.0,16160.0,105498,76236
2020-03-03,16135.0,16245.0,16135.0,16190.0,61313,72726
2020-03-04,15920.0,16025.0,15850.0,15995.0,83401,68923
2020-03-05,15930.0,16105.0,15920.0,16055.0,58922,66132
2020-03-06,16010.0,16090.0,15950.0,16020.0,44327,64317
2020-03-09,15705.0,15730.0,15235.0,15565.0,126944,101660
2020-03-10,15755.0,16115.0,15755.0,16025.0,100907,100954
2020-03-11,16005.0,16160.0,15980.0,16010.0,84848,101751
2020-03-12,15880.0,16015.0,15795.0,15835.0,112778,103524
2020-03-13,15635.0,15940.0,15505.0,15805.0,157305,99291
2020-03-16,15685.0,15865.0,15525.0,15540.0,106194,103523
2020-03-17,15620.0,15750.0,15555.0,15660.0,128362,96959
2020-03-18,15300.0,15530.0,14710.0,14880.0,221171,102142
2020-03-19,15090.0,15090.0,14245.0,14420.0,219507,98462
2020-03-20,14770.0,15125.0,14585.0,15055.0,167071,88937
2020-03-23,14480.0,14745.0,14250.0,14630.0,131705,87842
2020-03-24,14900.0,15015.0,14610.0,14895.0,142300,87893
2020-03-25,14990.0,14995.0,14715.0,14905.0,109587,79957
2020-03-26,14920.0,15150.0,14825.0,14860.0,105968,80697
2020-03-27,15050.0,15390.0,14985.0,15385.0,136692,82248
2020-03-30,15225.0,15230.0,14955.0,15080.0,98912,76073
2020-03-31,15230.0,15240.0,15135.0,15175.0,52482,73098
2020-04-01,15230.0,15350.0,15075.0,15140.0,69478,72028
2020-04-02,15185.0,15520.0,14935.0,15415.0,115904,70338
2020-04-03,15420.0,15565.0,15335.0,15560.0,81492,67662
2020-04-07,15730.0,15950.0,15675.0,15845.0,81025,65211
2020-04-08,15800.0,15810.0,15660.0,15675.0,61827,60855
2020-04-09,15700.0,15790.0,15540.0,15555.0,83375,84871
2020-04-10,15550.0,15735.0,15450.0,15660.0,88662,87487
2020-04-13,15660.0,15805.0,15610.0,15735.0,71387,88808
2020-04-14,15675.0,15980.0,15675.0,15900.0,105593,93833
2020-04-15,15880.0,16000.0,15775.0,15805.0,93428,92921
2020-04-16,15835.0,16035.0,15765.0,15970.0,97514,98810
2020-04-17,16075.0,16195.0,16025.0,16130.0,101583,98608
2020-04-20,16140.0,16240.0,15975.0,16130.0,86910,95930
2020-04-21,16015.0,16040.0,15535.0,15635.0,160807,89028
2020-04-22,15625.0,15885.0,15585.0,15860.0,131017,89522
2020-04-23,15805.0,15915.0,15745.0,15795.0,92140,88651
2020-04-24,15670.0,15900.0,15625.0,15825.0,97129,89621
2020-04-27,15900.0,16235.0,15900.0,16090.0,123092,87518
2020-04-28,16045.0,16160.0,15970.0,16125.0,84091,85060
2020-04-29,16245.0,16415.0,16200.0,16365.0,100159,85904
2020-04-30,16430.0,16480.0,16280.0,16400.0,67414,80031
2020-05-06,16280.0,16610.0,16260.0,16485.0,88801,78360
2020-05-07,16525.0,16785.0,16500.0,16680.0,111694,78498
2020-05-08,16820.0,17050.0,16715.0,16985.0,119227,77274
2020-05-11,16925.0,16950.0,16815.0,16830.0,96132,122738
2020-05-12,16830.0,16985.0,16800.0,16815.0,93094,126211
2020-05-13,16820.0,16885.0,16440.0,16615.0,141760,121644
2020-05-14,16630.0,16635.0,16325.0,16430.0,117686,115482
2020-05-15,16365.0,16515.0,16245.0,16465.0,128303,114697
2020-05-18,16415.0,16735.0,16365.0,16595.0,127459,115562
2020-05-19,16725.0,16965.0,16685.0,16750.0,142090,116386
2020-05-20,16775.0,16880.0,16725.0,16750.0,110277,114201
2020-05-21,16770.0,16780.0,16405.0,16495.0,206047,106319
2020-05-22,16480.0,16545.0,16165.0,16395.0,228291,97446
2020-05-25,16390.0,16515.0,16170.0,16330.0,145398,93825
2020-05-26,16370.0,16470.0,16220.0,16285.0,128951,90531
2020-05-27,16320.0,16450.0,16065.0,16075.0,166125,90009
2020-05-28,16100.0,16260.0,15980.0,16180.0,162745,84867
2020-05-29,16170.0,16475.0,16125.0,16400.0,147140,85600
2020-06-01,16535.0,16665.0,16400.0,16515.0,149261,82920
2020-06-02,16515.0,16680.0,16470.0,16620.0,114049,83248
2020-06-03,16650.0,16795.0,16470.0,16590.0,152341,84230
2020-06-04,16680.0,16710.0,16515.0,16530.0,148878,83401
2020-06-05,16530.0,16710.0,16485.0,16635.0,139698,83748
2020-06-08,16730.0,16805.0,16250.0,16505.0,174681,84088
2020-06-09,16535.0,16725.0,16460.0,16505.0,147242,82051
2020-06-10,16485.0,16560.0,16350.0,16420.0,137795,81483
2020-06-11,16440.0,16875.0,16335.0,16395.0,231248,78712
2020-06-12,16345.0,16505.0,16215.0,16455.0,161591,75210
2020-06-15,16470.0,16515.0,16230.0,16285.0,146400,74570
2020-06-16,16285.0,16580.0,16265.0,16540.0,124363,67610
2020-06-17,16560.0,16765.0,16445.0,16750.0,126886,69500
2020-06-18,16730.0,16835.0,16620.0,16720.0,114341,64904
2020-06-19,16790.0,17050.0,16765.0,16985.0,123155,60382
2020-06-22,17000.0,17015.0,16760.0,16825.0,154948,96074
2020-06-23,16880.0,17055.0,16730.0,16790.0,181741,95472
2020-06-24,16780.0,16835.0,16655.0,16740.0,117745,90362
2020-06-29,16685.0,16765.0,16580.0,16625.0,77684,89706
2020-06-30,16700.0,16900.0,16655.0,16835.0,136916,91479
2020-07-01,16835.0,16885.0,16660.0,16685.0,131139,91859
2020-07-02,16645.0,16815.0,16585.0,16775.0,134025,87641
2020-07-03,16765.0,16780.0,16670.0,16745.0,111490,86314
2020-07-06,16695.0,16820.0,16615.0,16820.0,146818,86134
2020-07-07,16820.0,16855.0,16635.0,16705.0,132933,88998
2020-07-08,16745.0,17115.0,16690.0,17090.0,165774,92074
2020-07-09,17160.0,17650.0,17115.0,17540.0,262947,92668
2020-07-10,17545.0,17755.0,17375.0,17555.0,234133,85244
2020-07-13,17625.0,18195.0,17625.0,18030.0,255161,77819
2020-07-14,18030.0,18455.0,17825.0,17945.0,271805,70317
2020-07-15,17925.0,18020.0,17770.0,17880.0,158227,67719
2020-07-16,17930.0,17975.0,17525.0,17730.0,199162,60414
2020-07-17,17800.0,18000.0,17735.0,17875.0,145052,57849
2020-07-20,17790.0,17860.0,17560.0,17685.0,121009,52588
2020-07-21,17700.0,17990.0,17700.0,17870.0,111634,51534
2020-07-22,17910.0,18330.0,17910.0,18025.0,215689,89085
2020-07-23,17930.0,18070.0,17575.0,18065.0,190598,94458
2020-07-24,17970.0,18300.0,17740.0,17910.0,233853,94872
2020-07-27,17945.0,18220.0,17910.0,18130.0,196825,97755
2020-07-28,18060.0,18530.0,17890.0,17980.0,288019,97908
2020-07-29,18030.0,18720.0,18015.0,18695.0,298620,113050
2020-07-30,18720.0,18925.0,18480.0,18745.0,310667,111542
2020-07-31,18660.0,19130.0,18490.0,19080.0,370443,121011
2020-08-03,18990.0,19095.0,18670.0,18790.0,286823,105784
2020-08-04,18940.0,19010.0,18735.0,18870.0,244083,101266
2020-08-05,18830.0,19070.0,18770.0,18850.0,218620,100323
2020-08-06,19150.0,19550.0,19005.0,19365.0,336228,95521
2020-08-07,19435.0,19570.0,19250.0,19430.0,224357,91283
2020-08-10,19490.0,19655.0,19145.0,19220.0,251515,88062
2020-08-11,19300.0,19455.0,19235.0,19285.0,157753,87495
2020-08-12,19380.0,19620.0,19065.0,19370.0,277243,84641
2020-08-13,19390.0,19490.0,19290.0,19390.0,169662,83760
2020-08-14,19410.0,19525.0,19245.0,19455.0,180983,79984
