index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
0,CU2605,20260417,102250,102430,101590,102290.0,66329,134961,3384322.43,102040,102330,CU
1,CU2606,20260417,102350,102510,101650,102330.0,67485,176222,3445728.725,102110,102380,CU
2,CU2607,20260417,102310,102440,101600,102280.0,16207,73891,827051.26,102060,102360,CU
3,CU2608,20260417,102240,102310,101560,102180.0,5818,32231,296717.165,101990,102240,CU
4,CU2609,20260417,102000,102270,101520,102140.0,7263,40957,370166.545,101930,102090,CU
5,CU2610,20260417,101970,102160,101460,102080.0,959,12955,48837.175,101850,102030,CU
6,CU2611,20260417,102050,102120,101370,101910.0,429,12049,21836.195,101800,101960,CU
7,CU2612,20260417,101840,101940,101200,101760.0,2593,21565,131770.275,101630,101790,CU
8,CU2701,20260417,101820,101940,101150,101700.0,1161,6547,58964.695,101570,101850,CU
9,CU2702,20260417,101790,101930,101190,101620.0,296,2763,15044.27,101650,101730,CU
10,CU2703,20260417,101840,101960,101170,101670.0,964,2211,48956.935,101570,101750,CU
11,CU2704,20260417,101900,101900,101200,101770.0,236,313,11989.555,101600,102180,CU
12,BC2605,20260417,91020,91230,90390,91010.0,4240,6792,192519.96,90810,91070,BC
13,BC2606,20260417,90840,90980,90280,90860.0,1047,3410,47489.3,90710,90950,BC
14,BC2607,20260417,90660,90680,90500,90680.0,13,65,588.685,90560,90860,BC
15,BC2608,20260417,,,,91230.0,0,2,0.0,91230,91230,BC
16,BC2609,20260417,,,,89910.0,0,1,0.0,89910,89910,BC
17,BC2610,20260417,,,,90280.0,0,2,0.0,90280,90280,BC
18,BC2611,20260417,,,,89770.0,0,1,0.0,89770,89770,BC
19,BC2612,20260417,,,,89840.0,0,1,0.0,89840,89520,BC
20,BC2701,20260417,,,,89430.0,0,0,0.0,89430,89430,BC
21,BC2702,20260417,,,,89450.0,0,0,0.0,89450,89450,BC
22,BC2703,20260417,,,,89360.0,0,0,0.0,89360,89360,BC
23,BC2704,20260417,,,,89110.0,0,0,0.0,89110,88930,BC
24,AL2605,20260417,25450,25600,25260,25440.0,98760,156621,1255351.39,25420,25240,AL
25,AL2606,20260417,25515,25675,25340,25520.0,333070,370218,4247917.1425,25505,25340,AL
26,AL2607,20260417,25580,25700,25370,25550.0,55631,110616,710094.4625,25525,25390,AL
27,AL2608,20260417,25570,25675,25360,25540.0,14699,39053,187453.225,25505,25380,AL
28,AL2609,20260417,25500,25620,25305,25495.0,10254,26938,130607.3025,25470,25360,AL
29,AL2610,20260417,25515,25580,25290,25455.0,2077,8602,26406.28,25425,25330,AL
30,AL2611,20260417,25415,25535,25250,25440.0,914,3421,11603.695,25390,25320,AL
31,AL2612,20260417,25450,25515,25230,25420.0,1389,5499,17603.7375,25345,25290,AL
32,AL2701,20260417,25375,25485,25200,25370.0,363,2914,4598.43,25335,25250,AL
33,AL2702,20260417,25410,25515,24410,25380.0,188,1590,2380.9925,25325,25185,AL
34,AL2703,20260417,25385,25430,25175,25345.0,116,1866,1467.515,25300,25205,AL
35,AL2704,20260417,25300,25360,25175,25350.0,105,117,1327.265,25280,25155,AL
36,ZN2605,20260417,23960,24070,23875,24020.0,67624,61572,811028.275,23985,23915,ZN
37,ZN2606,20260417,24030,24120,23930,24070.0,46101,69980,554117.785,24035,23965,ZN
38,ZN2607,20260417,24065,24165,23975,24125.0,11932,27098,143655.2475,24075,24010,ZN
