symbol,short_party_name,long_party_name,rank,vol_party_name,long_open_interest,vol,vol_chg,short_open_interest_chg,short_open_interest,long_open_interest_chg,variety
cu2606,中信期货,中信期货,1,国泰君安,25775,16545,1394,-1483,20941,466,CU
cu2606,金瑞期货,国泰君安,2,中信期货,20503,14347,-3737,472,17727,-633,CU
cu2606,国泰君安,永安期货,3,东证期货,7902,13616,2065,446,13459,-123,CU
cu2606,银河期货,东证期货,4,华泰期货,6377,5815,586,1056,11572,415,CU
cu2606,光大期货,银河期货,5,国信期货,5961,4648,389,-346,7730,405,CU
cu2606,东证期货,中金财富,6,中财期货,4249,3150,2173,-185,6342,401,CU
cu2606,五矿期货,东吴期货,7,银河期货,3648,2939,651,86,6246,33,CU
cu2606,国信期货,中信建投,8,宝城期货,3561,2862,1021,120,4018,106,CU
cu2606,云晨期货,乾坤期货,9,中泰期货,3466,2568,413,28,3794,-628,CU
cu2606,建信期货,华泰期货,10,华闻期货,3463,2397,84,53,3552,-79,CU
cu2606,华泰期货,云晨期货,11,永安期货,3452,2310,115,168,3223,1,CU
cu2606,国联期货,方正中期,12,广发期货,3272,2303,-150,12,3119,181,CU
cu2606,兴业期货,金瑞期货,13,金瑞期货,2833,2041,-2959,27,3040,-71,CU
cu2606,中金岭南,建信期货,14,南华期货,2799,2026,-834,0,3008,-337,CU
cu2606,申万期货,一德期货,15,招商期货,2764,1964,749,15,2952,135,CU
cu2606,广发期货,广发期货,16,方正中期,2665,1870,-734,33,2937,14,CU
cu2606,南华期货,光大期货,17,东吴期货,2622,1868,385,138,2620,209,CU
cu2606,方正中期,南华期货,18,海通期货,2576,1753,59,175,2542,-200,CU
cu2606,国贸期货,信达期货,19,光大期货,2345,1521,367,195,2421,39,CU
cu2606,紫金天风,国信期货,20,申万期货,2264,1501,-63,382,2415,40,CU
cu2606,,,999,,112497,88044,1974,1392,123658,374,CU
cu2605,金瑞期货,国泰君安,1,国泰君安,17030,17656,-1613,-2083,13631,-2420,CU
cu2605,中信期货,中信期货,2,中信期货,15922,14871,-4207,-1083,12379,-1182,CU
cu2605,中粮期货,金瑞期货,3,东证期货,8285,11222,-1425,-21,8696,-89,CU
cu2605,国泰君安,东证期货,4,金瑞期货,6726,5692,-2204,-534,7541,-2032,CU
cu2605,银河期货,铜冠金源,5,银河期货,6527,5138,692,-901,7093,117,CU
cu2605,五矿期货,永安期货,6,华泰期货,3658,3977,-2015,-97,5909,-370,CU
cu2605,东证期货,银河期货,7,国信期货,3505,3790,-28,-524,4634,-87,CU
cu2605,国投期货,华泰期货,8,浙商期货,3457,3697,1924,-349,4387,-175,CU
cu2605,紫金天风,国元期货,9,中泰期货,3442,2301,-380,-678,3948,-113,CU
cu2605,华泰期货,国投期货,10,建信期货,2616,2130,-197,-108,3504,-161,CU
cu2605,光大期货,建信期货,11,海通期货,2365,2073,-47,-388,3121,40,CU
cu2605,兴业期货,南华期货,12,国贸期货,2359,2068,-662,-356,2878,-125,CU
cu2605,国贸期货,云晨期货,13,南华期货,2327,2021,-915,-526,2320,-357,CU
cu2605,长江期货,国信期货,14,五矿期货,2045,1736,395,-421,2308,206,CU
cu2605,广发期货,东吴期货,15,广发期货,1804,1673,-11,-109,2203,-187,CU
cu2605,海通期货,方正中期,16,云晨期货,1715,1670,-642,-92,2120,-168,CU
cu2605,南华期货,恒力期货,17,光大期货,1677,1637,-127,-80,2097,353,CU
cu2605,方正中期,中泰期货,18,国元期货,1668,1628,-371,-333,1937,42,CU
cu2605,华金期货,东海期货,19,华闻期货,1667,1422,-448,-218,1664,80,CU
cu2605,新湖期货,中信建投,20,中信建投,1663,1404,-353,-21,1561,60,CU
cu2605,,,999,,90458,87806,-12634,-8922,93931,-6568,CU
cu2607,中信期货,国泰君安,1,国泰君安,9881,4874,-201,1049,11628,1228,CU
cu2607,中银期货,中信期货,2,中信期货,8236,4636,-2061,20,6182,255,CU
cu2607,国泰君安,东证期货,3,东证期货,5070,2248,-1292,-30,5610,134,CU
cu2607,五矿期货,银河期货,4,国信期货,3353,1780,222,302,4673,-3,CU
cu2607,金瑞期货,金瑞期货,5,华泰期货,2772,1253,-60,-77,4138,-83,CU
