品种,数据文件,价格行数,可用IC窗口,5日IC窗口,10日IC窗口,20日IC窗口,IC充足
AG,AG_fut_close.csv,1523,✅ 充足,1458,1453,1443,✅
AL,AL_fut_close.csv,1523,✅ 充足,1458,1453,1443,✅
AU,AU_fut_close.csv,1523,✅ 充足,1458,1453,1443,✅
BR,BR_fut_close.csv,663,✅ 充足,598,593,583,✅
BU,N/A,0,❌ 无数据,0,0,0,❌
CU,CU_fut_close.csv,1523,✅ 充足,1458,1453,1443,✅
EC,EC_fut_close.csv,648,✅ 充足,583,578,568,✅
EG,N/A,0,❌ 无数据,0,0,0,❌
HC,N/A,0,❌ 无数据,0,0,0,❌
I,I_fut_close.csv,3043,✅ 充足,2978,2973,2963,✅
J,N/A,0,❌ 无数据,0,0,0,❌
JM,JM_fut_close.csv,3175,✅ 充足,3110,3105,3095,✅
LC,LC_fut_close.csv,668,✅ 充足,603,598,588,✅
LH,LH_fut_close.csv,1281,✅ 充足,1216,1211,1201,✅
M,M_fut_close.csv,5185,✅ 充足,5120,5115,5105,✅
NI,NI_fut_close.csv,1522,✅ 充足,1457,1452,1442,✅
NR,NR_fut_close.csv,1624,✅ 充足,1559,1554,1544,✅
P,P_fut_close.csv,4496,✅ 充足,4431,4426,4416,✅
PB,PB_fut_close.csv,3664,✅ 充足,3599,3594,3584,✅
PP,N/A,0,❌ 无数据,0,0,0,❌
RB,RB_fut_close.csv,4146,✅ 充足,4081,4076,4066,✅
RU,RU_fut_close.csv,5180,✅ 充足,5115,5110,5100,✅
SA,SA_fut_close.csv,1546,✅ 充足,1481,1476,1466,✅
SC,SC_fut_close.csv,1960,✅ 充足,1895,1890,1880,✅
SN,SN_fut_close.csv,2693,✅ 充足,2628,2623,2613,✅
TA,TA_fut_close.csv,4700,✅ 充足,4635,4630,4620,✅
Y,N/A,0,❌ 无数据,0,0,0,❌
ZN,ZN_fut_close.csv,1523,✅ 充足,1458,1453,1443,✅
