variety,ic_window,hold_period,ir,ic_mean,win_rate
AG,80,10,1.1714115114308523,0.10723464603844352,0.87
AL,80,15,0.379911807928537,0.08377473042662917,0.64
AO,80,5,-0.5249656947767016,-0.048024378809188945,0.43
AU,40,10,-2.0055333653300407,-0.2503452157598499,0.01
BR,40,5,-0.5269974000594607,-0.10322701688555347,0.22
CU,80,15,0.9540540190700739,0.12803680262541023,0.84
EC,80,15,2.7257875842981503,0.2118202062822316,1.0
I,80,5,1.175683808453632,0.10329832302236283,0.87
JM,80,10,0.1337265152246177,0.018036070232853817,0.46
LC,80,10,-0.5118899612502031,-0.07546016186054935,0.34
LH,80,5,1.2190597713937794,0.13820909517112048,0.96
M,40,15,-0.9339354405742045,-0.19840900562851782,0.2
NI,60,5,-0.45599494102027816,-0.11480244512364549,0.42
NR,80,5,0.19751491426409837,0.013359481305426506,0.52
P,80,5,-0.3825183258458674,-0.06859329582747305,0.37
PB,60,10,0.49755169999281457,0.051173659349819406,0.65
RB,80,5,2.122937625607622,0.2854308485700891,1.0
RU,80,10,0.6627216066314591,0.08610032817627754,0.68
SA,80,15,0.017708258114790206,0.001826300984528832,0.52
SC,80,5,0.3117242214385302,0.06761322081575245,0.44
SN,80,5,-0.5323645674076672,-0.04877074542897328,0.28
TA,40,5,-0.4617647320305646,-0.09311069418386493,0.32
ZN,80,15,0.458736965535267,0.05276511954992968,0.58
